Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.075827606,0.080544844,0.075761095,0.027818039,-0.007420024,-0.0050739823,0.075548425,0.08068667,0.07548977,0.0285775,-0.0075483625,-0.0009820445,0.07525114,0.080748856,0.07522432,0.029015722,-0.0075623393,0.0036810113,0.07496006,0.08075523,0.07497835,0.029215867,-0.007514082,0.008727238,0.07468624,0.0807062,0.07474877,0.029262787,-0.0074478723,0.013848982,0.07442397,0.08057512,0.07451752,0.02923253,0.0007908538,0.0007908538
2,0.10856599,0.12919876,0.10851564,0.037342478,-0.0032827614,-0.02480903,0.1082646,0.1206212,0.10832905,0.036604874,-0.002967761,-0.018475866,0.108020656,0.1172733,0.10846283,0.036131192,-0.0028970535,-0.009218499,0.10803982,0.11718842,0.10765026,0.035861596,-0.0028394544,0.0047228006,0.10714361,0.12057411,0.10710563,0.03557081,-0.0026761438,0.024264622,0.10664559,0.12938368,0.10669849,0.03515095,0.0007908538,0.0007908538
3,0.07652139,0.1413468,0.07720533,0.05006249,0.030642403,-0.031986296,0.07693659,0.10499566,0.0779445,0.038603127,0.032624736,-0.03387567,0.07756335,0.09275911,0.07913987,0.031240894,0.03306531,-0.033651598,0.07866607,0.09292911,0.07707823,0.027292581,0.032984354,-0.020942774,0.07646389,0.105763935,0.07544963,0.02497859,0.033111017,0.015097993,0.07489724,0.14223962,0.0742471,0.022735747,0.0007908538,0.0007908538
4,0.08455292,0.15956014,0.080815196,0.048395865,0.04813776,-0.03895728,0.08054104,0.113126345,0.08003652,0.03513824,0.04938904,-0.042812172,0.07974596,0.09730384,0.08151633,0.027313758,0.049104106,-0.04395823,0.08111155,0.09750183,0.07936638,0.023544239,0.048661746,-0.027968664,0.07866108,0.114163466,0.07919063,0.021011366,0.04886229,0.019418148,0.07861337,0.16107763,0.08249823,0.017917732,0.0007908538,0.0007908538
5,0.097169966,0.1727398,0.08973851,0.048124358,0.036180153,-0.04857007,0.08942591,0.12304667,0.08752899,0.037361503,0.03726135,-0.051993124,0.08728771,0.10584235,0.089034595,0.032086436,0.036447696,-0.05234962,0.08864162,0.1060247,0.08696643,0.030532818,0.035514645,-0.032872796,0.08609289,0.12422382,0.08801723,0.029469466,0.035225183,0.022149136,0.087243006,0.17508674,0.0947618,0.027540697,0.0007908538,0.0007908538
6,0.08717696,0.1754478,0.081749104,0.053300932,0.04344802,-0.04262046,0.08143988,0.11914947,0.08058447,0.03898946,0.04550581,-0.04824625,0.079946585,0.09981176,0.08199258,0.031046126,0.045236737,-0.052804176,0.081221074,0.10005816,0.07905137,0.027858645,0.044556454,-0.037796784,0.07807627,0.12028263,0.07880228,0.025995856,0.044493865,0.016588584,0.07798321,0.17691208,0.08313975,0.023432259,0.0007908538,0.0007908538
7,0.08866559,0.18043241,0.08280768,0.054403592,0.044256527,-0.03608698,0.0823749,0.12114001,0.0815025,0.039621893,0.0465032,-0.042759307,0.08045559,0.1006229,0.0825139,0.031463217,0.046289407,-0.049649704,0.081346296,0.10080342,0.07896761,0.02830549,0.045647625,-0.03755545,0.077825025,0.12191703,0.078370176,0.02652524,0.0456954,0.015499304,0.07749482,0.18076597,0.08264572,0.023963245,0.0007908538,0.0007908538
8,0.09250668,0.18333188,0.085696176,0.056039736,0.033916786,-0.039424803,0.08526584,0.12374661,0.08410543,0.042669132,0.03647438,-0.04573284,0.08293581,0.103005484,0.08497733,0.035737965,0.036279365,-0.053266108,0.083677,0.103194945,0.08131073,0.033627212,0.03554205,-0.04201405,0.08006903,0.124518074,0.08088218,0.032705702,0.035393525,0.011277146,0.07985841,0.18372148,0.08578548,0.031100344,0.0007908538,0.0007908538
9,0.08898592,0.18359035,0.083045855,0.056733057,0.04080509,-0.034804597,0.08268149,0.12212738,0.08193858,0.04185058,0.043463018,-0.041988052,0.0805676,0.100777306,0.082681894,0.033704534,0.04341807,-0.051857337,0.081140324,0.10101141,0.07858632,0.03071124,0.04283838,-0.04411801,0.077292226,0.12290539,0.07760136,0.029183509,0.042920243,0.006436983,0.07658946,0.18353362,0.08147885,0.026951708,0.0007908538,0.0007908538
10,0.09102899,0.18444197,0.08458341,0.056494497,0.039965183,-0.03866461,0.084373556,0.12338443,0.08348508,0.041915342,0.042562187,-0.04530159,0.08214108,0.10213508,0.0842685,0.034072742,0.042455748,-0.05571081,0.08271973,0.1024389,0.08023013,0.03135339,0.04184878,-0.049077168,0.078952804,0.12435441,0.07950119,0.03000057,0.041938532,0.0008816993,0.07845084,0.18477485,0.0839288,0.027883094,0.0007908538,0.0007908538
11,0.09074504,0.1846592,0.08437558,0.05629423,0.042696334,-0.038775593,0.0843072,0.1233301,0.08350113,0.04129438,0.045244098,-0.04535696,0.0821062,0.10196901,0.08427108,0.033135172,0.045141604,-0.05695154,0.08261222,0.102314495,0.08010455,0.030186545,0.04457394,-0.052485783,0.07880939,0.12438371,0.07931178,0.028643897,0.044749353,-0.0043941042,0.07826824,0.18502586,0.08367747,0.026284762,0.0007908538,0.0007908538
12,0.089928396,0.1845898,0.08376284,0.057146315,0.040918108,-0.038459405,0.08378269,0.12286445,0.08310688,0.042167973,0.043631166,-0.04504024,0.08160705,0.1013386,0.08380667,0.03400604,0.043612797,-0.057897683,0.08198287,0.10170517,0.07942852,0.031067627,0.043069296,-0.05575142,0.07807312,0.12393598,0.07843695,0.02959385,0.04322519,-0.00972148,0.07737059,0.1848825,0.08248413,0.02738449,0.0007908538,0.0007908538
13,0.09094767,0.18519726,0.08454818,0.056914818,0.040250383,-0.038322523,0.08467388,0.1234742,0.08395492,0.042160038,0.042916648,-0.044704776,0.08237028,0.10187466,0.08457711,0.034193985,0.04285037,-0.058568023,0.08259411,0.10224381,0.0800422,0.031426217,0.042272814,-0.058489155,0.078616455,0.12453714,0.07903137,0.030073497,0.042409092,-0.014470581,0.07794941,0.18545218,0.08322794,0.027948864,0.0007908538,0.0007908538
14,0.09038425,0.1853088,0.084136166,0.056654677,0.042828288,-0.03687255,0.084398195,0.123216316,0.08379145,0.041504633,0.045442745,-0.04328096,0.0821152,0.10144732,0.08435783,0.033226456,0.045376405,-0.058526345,0.082192354,0.10182831,0.07960322,0.030220715,0.044826344,-0.06112107,0.07811226,0.12428716,0.07842024,0.02867676,0.045024946,-0.019753883,0.0773625,0.1854619,0.08243836,0.026317557,0.0007908538,0.0007908538
15,0.0911616,0.18572603,0.08473384,0.056687374,0.04146324,-0.036862224,0.08511266,0.12365756,0.08448673,0.04179524,0.04407977,-0.04305458,0.08273339,0.10182232,0.08499247,0.033731185,0.043990213,-0.059335724,0.082665466,0.10220524,0.08008073,0.030909307,0.043411504,-0.06410584,0.07851394,0.12472839,0.078858085,0.029514706,0.043579217,-0.024922766,0.07779356,0.18587826,0.082991056,0.027299574,0.0007908538,0.0007908538
