Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.068946674,0.073996976,0.069006026,0.032809652,-0.046112046,0.06842608,0.06901228,0.07637249,0.06910294,0.034557052,-0.045014523,0.068722434,0.06912909,0.07340439,0.0692271,0.03578745,-0.044031147,0.06944901,0.06927433,0.07313897,0.069357105,0.03667,-0.04297102,0.06958014,0.06942464,0.07307648,0.069491774,0.03728265,-0.04137815,0.06912881,0.069576286,0.074174486,0.06964191,0.037771422,-0.034350295,0.06849567
2,0.047644585,0.14723977,0.04730598,0.085471615,-0.067807995,0.04366049,0.04738295,0.117539294,0.047205143,0.083662905,-0.05733667,0.044535704,0.047332056,0.054784037,0.047377028,0.08089432,-0.04966655,0.046128392,0.04755633,0.05444565,0.047751483,0.07809364,-0.042487495,0.0463891,0.047981646,0.054143224,0.048327554,0.07597461,-0.033558138,0.04535563,0.04860224,0.07903259,0.049177293,0.07546443,-0.00881138,0.043950193
3,0.06246487,0.19256355,0.059620168,0.12818693,-0.051458824,0.05446008,0.060296964,0.15667823,0.054773014,0.11901675,-0.03507574,0.05602538,0.055647086,0.057913683,0.054340206,0.10832962,-0.022428602,0.05844762,0.055119604,0.061051734,0.055154998,0.09837638,-0.010952549,0.058865078,0.055826057,0.05997148,0.057309765,0.09074895,0.0029801764,0.057505842,0.05787638,0.09995593,0.062065247,0.08685304,0.038573124,0.055914693
4,0.054169856,0.22961012,0.05401626,0.15985094,-0.031716276,0.037455224,0.055401426,0.17548142,0.05140293,0.14449503,-0.012412038,0.045046914,0.053159755,0.052532278,0.052256007,0.127157,0.0030818905,0.049423426,0.0537048,0.055125453,0.053915422,0.111388244,0.016943268,0.050196543,0.05504254,0.055934444,0.056490954,0.09944131,0.03395157,0.04791104,0.057320405,0.10878495,0.061479434,0.09300325,0.07746401,0.043633435
5,0.059954498,0.25185153,0.05774245,0.18833148,-0.019048227,0.03475396,0.059759755,0.19060116,0.05563155,0.16990446,0.003341288,0.044541396,0.058070637,0.053828288,0.05734269,0.14744225,0.021976221,0.05123571,0.059300426,0.05614097,0.059613887,0.12677155,0.03859463,0.05316601,0.061063364,0.057828624,0.0626104,0.11109829,0.05911988,0.05170811,0.06357181,0.11680659,0.06841711,0.1027382,0.11209057,0.050196458
6,0.057462126,0.26735076,0.05629191,0.20944281,-0.01577254,0.022942405,0.058548473,0.19833434,0.055751823,0.19050579,0.009377442,0.03779517,0.058453664,0.052229356,0.058099616,0.16516472,0.030335689,0.047128435,0.060214438,0.053294413,0.06067425,0.14155251,0.048995834,0.050237197,0.062158007,0.055517107,0.06362231,0.12369456,0.07224689,0.04940088,0.06447094,0.11796487,0.06909323,0.11462497,0.1338342,0.050184287
7,0.056894086,0.27672157,0.05615165,0.22680369,-0.014281514,0.0127418665,0.05855404,0.20309393,0.05655434,0.20832263,0.013257825,0.03361887,0.059392948,0.05130056,0.059253287,0.18080574,0.036274873,0.04564794,0.061417755,0.051408228,0.06193528,0.15481035,0.05671056,0.05019306,0.06336242,0.053827308,0.06474254,0.13520898,0.082311854,0.050268985,0.06539862,0.11760653,0.06983757,0.12576294,0.15165769,0.053066593
8,0.056439843,0.28152934,0.055972464,0.23966968,-0.0056168563,0.0047027348,0.059000988,0.20451982,0.057275295,0.22117889,0.022778973,0.03196904,0.060623854,0.05017533,0.060503144,0.19110799,0.04742491,0.04711224,0.06303879,0.05037987,0.06344586,0.16236399,0.06922363,0.05356118,0.0650984,0.053600073,0.06630541,0.14071625,0.096525915,0.05511785,0.06704464,0.11852891,0.07133131,0.13037427,0.17095265,0.06126779
9,0.055867158,0.2854469,0.05574021,0.24883306,-0.005747902,-0.0041564847,0.05878725,0.20616661,0.05753869,0.23161975,0.024035122,0.029143754,0.06088682,0.049126364,0.060876295,0.20048425,0.04973038,0.046694342,0.06335462,0.04852736,0.06376432,0.17042787,0.07230109,0.054507054,0.06528904,0.05175066,0.066376396,0.1478811,0.10060787,0.056764144,0.06689362,0.11692757,0.07083178,0.1375331,0.17922702,0.06577804
10,0.05420721,0.28808483,0.054796576,0.2551922,-0.0060279835,-0.014172274,0.057844423,0.20746739,0.057166867,0.23926695,0.024827795,0.025545157,0.06050102,0.048109107,0.0606115,0.20737326,0.051200703,0.04535053,0.06302842,0.04652071,0.06346731,0.17636746,0.074136995,0.05444788,0.064872086,0.04954268,0.06586551,0.15322568,0.1029087,0.057272624,0.066187695,0.11476704,0.069753684,0.14297584,0.18421383,0.06737418
11,0.053980064,0.28901646,0.054685522,0.25982374,-0.00466541,-0.021189524,0.0578476,0.20770639,0.05727472,0.24523067,0.026938878,0.023950985,0.060698047,0.047217816,0.060816217,0.21250702,0.053875588,0.04590389,0.06326822,0.045223452,0.06365804,0.18046509,0.07707018,0.056255054,0.0650365,0.048304792,0.065916546,0.15664579,0.106117144,0.05973041,0.06614488,0.113568425,0.069437474,0.14632398,0.1892028,0.070793636
12,0.055471204,0.28882048,0.05561469,0.2639454,-0.004689346,-0.025585575,0.058774408,0.20714499,0.057910558,0.25123057,0.027860112,0.024037134,0.06133213,0.046288583,0.061374504,0.21783003,0.055401456,0.04795934,0.063788176,0.04423744,0.06407366,0.1848315,0.078889646,0.05941831,0.06536856,0.047454145,0.066122204,0.16039182,0.10822181,0.06347448,0.066209264,0.11245551,0.06927402,0.15006736,0.19305491,0.07538104
13,0.055510756,0.28813872,0.055609744,0.26557463,-0.0021070028,-0.030539468,0.058982007,0.2063341,0.057947047,0.2541499,0.030811712,0.023511633,0.06156324,0.04540616,0.061544195,0.22001207,0.058562227,0.04925458,0.064095885,0.04337182,0.06429603,0.1861463,0.081948675,0.06174877,0.06566986,0.046825334,0.066308565,0.16117439,0.111090586,0.06630157,0.06642475,0.11201669,0.06926902,0.15071483,0.19619884,0.078628905
14,0.056422018,0.28847152,0.056210607,0.26706818,-0.0048453338,-0.035934858,0.059353217,0.20748964,0.05819427,0.25718307,0.028984237,0.022023924,0.061627958,0.045430746,0.06161809,0.22299491,0.056759696,0.049068853,0.06398408,0.042538106,0.06420108,0.18902318,0.07982097,0.06223311,0.065377235,0.045382123,0.06598347,0.1641647,0.1085792,0.0668837,0.06587741,0.11011083,0.06848997,0.15413192,0.19405341,0.07864049
15,0.05770101,0.2880724,0.057012912,0.26717743,-0.002293909,-0.040579267,0.060359586,0.20821925,0.058789786,0.2584909,0.031846315,0.021345178,0.062432393,0.04576066,0.062354185,0.22373815,0.059601013,0.049973093,0.06487471,0.04263239,0.06504257,0.18914762,0.082330905,0.06407986,0.06631616,0.045377605,0.066856995,0.16395617,0.110686526,0.06914001,0.06680706,0.11031246,0.06929659,0.15383406,0.19590516,0.08094722
