Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.04504429,0.044649538,0.045022115,0.047739264,0.04086875,0.043469917,0.044993572,0.0452296,0.044964954,0.047604598,0.035986714,0.043204084,0.04493335,0.04607454,0.044904932,0.047298256,0.02522165,0.040446095,0.044868857,0.04697664,0.044847634,0.046872456,0.006598841,0.032984227,0.04478705,0.047679655,0.044783525,0.04646132,0.000103418715,0.021237552,0.044719577,0.04811739,0.044742838,0.04624392,-0.03819399,0.00093169656
2,0.09301216,0.042900153,0.092954956,0.088868655,0.035926294,0.089952126,0.09287063,0.050071612,0.09283051,0.086569645,0.004464223,0.08671198,0.092754014,0.06481527,0.09269962,0.08192488,-0.013064805,0.040608328,0.09263012,0.07813752,0.092503496,0.07740278,-0.034223992,0.00096304435,0.09238504,0.08426685,0.09217665,0.07529041,-0.042501085,-0.016632196,0.0920158,0.086492404,0.09181982,0.07738906,-0.083446234,0.0012586374
3,0.13462466,0.0146618625,0.13528073,0.11753241,0.06412039,0.14004424,0.13496032,0.028817097,0.13489369,0.11093218,0.007708263,0.13462812,0.13468675,0.062657855,0.13381857,0.10072467,-0.021804767,0.07806944,0.13341838,0.0912288,0.13132644,0.09655678,-0.047428273,0.013590381,0.1305687,0.10263772,0.12655282,0.09924851,-0.059512544,-0.011006316,0.12541668,0.108672224,0.12137494,0.10670896,-0.12016922,0.0013093847
4,0.1422481,-0.021454506,0.14415987,0.13477144,0.08886868,0.18238953,0.14678179,-0.0028350553,0.14621721,0.12203973,0.025073925,0.17433706,0.1480605,0.044233672,0.14433394,0.10837219,-0.00805989,0.107528806,0.14435855,0.08110287,0.13638848,0.11167841,-0.036294915,0.020276487,0.13476498,0.10023588,0.12177851,0.12147543,-0.047022317,0.0016037347,0.11940101,0.11933803,0.108084075,0.13008352,-0.12045599,0.0019909185
5,0.12500936,-0.05447051,0.12810671,0.1432266,0.07233375,0.19762425,0.13664968,-0.03075654,0.1356356,0.122098014,0.011586563,0.18178073,0.14105272,0.028588653,0.1339682,0.10309465,-0.011303374,0.096641295,0.1354386,0.06802947,0.12149244,0.11359392,-0.033096623,-0.008904217,0.12017585,0.09761042,0.09953409,0.12778392,-0.03733028,-0.018987672,0.09724243,0.13073982,0.07975615,0.13703558,-0.11130713,0.0024882497
6,0.10863813,-0.07531514,0.113979585,0.1435345,0.043693494,0.20618512,0.12840122,-0.042072598,0.12779109,0.11544351,-0.0111012235,0.18288076,0.13685788,0.027433503,0.12768586,0.092653185,-0.021525944,0.077527925,0.13085692,0.062764205,0.11371071,0.1083163,-0.03528921,-0.044307012,0.1130197,0.09987418,0.08833737,0.12342284,-0.032005336,-0.045963883,0.08661273,0.14177674,0.06627628,0.1317602,-0.1020731,0.0029857145
7,0.0998251,-0.08544443,0.109296836,0.1362201,0.017180674,0.21610829,0.12913172,-0.038047586,0.1299512,0.10408066,-0.030231781,0.18546835,0.14243829,0.04188244,0.13238393,0.080115266,-0.028436586,0.05936993,0.13691293,0.06840244,0.119551204,0.10035693,-0.034899473,-0.07860341,0.11928533,0.10682962,0.09452739,0.11528112,-0.024955282,-0.0692568,0.09325301,0.14989655,0.07400995,0.122545436,-0.09305664,0.0030305411
8,0.09664142,-0.09117667,0.11020539,0.12809342,0.018835042,0.24114981,0.13408439,-0.02856547,0.13615735,0.09520302,-0.023513775,0.20603627,0.15159507,0.05844654,0.14201123,0.07440031,-0.014775532,0.06181987,0.14725876,0.07210871,0.13174121,0.100455895,-0.020746164,-0.09810627,0.13046782,0.107921615,0.10740569,0.115200944,-0.009254243,-0.080520056,0.10569427,0.14913179,0.08868361,0.12102944,-0.08103135,0.0030758854
9,0.08567906,-0.09570543,0.10233831,0.12199094,0.034254387,0.27491292,0.12986371,-0.020078849,0.13249043,0.08888328,-0.005949574,0.23689756,0.15125528,0.0671142,0.14330873,0.0740052,0.007768199,0.07875422,0.14943033,0.06429825,0.13647278,0.10616454,-0.0017735909,-0.109595396,0.13312633,0.10011018,0.111613415,0.11871301,0.0093470495,-0.08904,0.10920811,0.14216733,0.09275844,0.12243878,-0.0681477,0.0034395494
10,0.071139626,-0.09734353,0.09052923,0.11727702,0.030530643,0.3007833,0.12244252,-0.011624536,0.12540194,0.08246834,-0.00918603,0.25809574,0.14845477,0.07203165,0.14233716,0.0719607,0.011383625,0.08743384,0.15012622,0.053731788,0.13923046,0.1073845,-0.00059053197,-0.13060974,0.13446,0.09409927,0.11412282,0.11429321,0.0143205,-0.10910827,0.11177784,0.13935384,0.09581421,0.113924004,-0.05859052,0.0036870076
