Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.04175866,0.04470859,-0.0416957,0.037237477,-0.040330447,0.04461834,-0.041525453,0.046521235,-0.04136249,0.0394145,-0.042947292,0.0420596,-0.04107147,0.048284866,-0.04088553,0.04281114,-0.044105306,0.037675768,-0.040527813,0.048995383,-0.040563922,0.046529055,-0.044126794,0.03554808,-0.040275715,0.048230868,-0.040574796,0.048876703,-0.04394971,0.036084916,-0.040469952,0.046409275,-0.040775307,0.049891472,-0.04390976,0.038508408
2,-0.06162044,0.079344034,-0.059805255,0.015007762,-0.052914616,0.052207448,-0.05683751,0.0826817,-0.057751194,0.020735558,-0.08789459,0.03361307,-0.05243854,0.07758253,-0.054493625,0.041349344,-0.092602104,0.018941093,-0.049112573,0.07108161,-0.0515234,0.074204385,-0.09225929,0.014242775,-0.047739234,0.06289062,-0.049626388,0.091599815,-0.09168341,0.015706407,-0.04843139,0.058854334,-0.048292793,0.09669857,-0.09147896,0.021201378
3,-0.07810462,0.105691515,-0.07470031,-0.011470828,-0.058704082,0.05213354,-0.06872171,0.10437314,-0.07193791,0.00025856122,-0.122572415,0.024901012,-0.061848808,0.08983571,-0.06587532,0.03551541,-0.12728368,0.0061011063,-0.05618553,0.07965977,-0.05930331,0.09026678,-0.12527275,0.0017278672,-0.052535083,0.0698296,-0.053727087,0.11715433,-0.12386523,0.0027260536,-0.05129509,0.06845043,-0.049251836,0.12535496,-0.124313705,0.0053054057
4,-0.09608543,0.12711605,-0.09162713,-0.03270128,-0.06578705,0.057189457,-0.08363663,0.11184588,-0.09125115,-0.011010187,-0.14558329,0.032423917,-0.078869894,0.08459861,-0.08445646,0.034450553,-0.14531797,0.017218102,-0.0729772,0.07805916,-0.0739839,0.09645753,-0.1395375,0.014055049,-0.06588303,0.078472294,-0.06193132,0.1230519,-0.13669233,0.009739288,-0.058057353,0.086673215,-0.05104638,0.13346834,-0.13932262,0.00052234717
5,-0.09627435,0.14149149,-0.09014608,-0.049309317,-0.07475695,0.037890475,-0.08070595,0.113384984,-0.09323275,-0.016852004,-0.16333674,0.023489729,-0.07995476,0.07328162,-0.08618356,0.03761249,-0.15724987,0.016986186,-0.07450259,0.06874987,-0.07216559,0.1040988,-0.1480674,0.016895678,-0.06417029,0.07892143,-0.05400444,0.12826726,-0.1435009,0.0061505907,-0.04973808,0.096979536,-0.03724597,0.13898793,-0.14698142,-0.01465016
6,-0.10238383,0.14489467,-0.09675909,-0.061776802,-0.08031928,0.04070729,-0.08617336,0.10818211,-0.09931085,-0.024875145,-0.16907042,0.028490542,-0.08419799,0.075656086,-0.088424936,0.03274074,-0.16187117,0.018156933,-0.07535257,0.074820295,-0.07086958,0.10305599,-0.1520504,0.020689663,-0.06202647,0.08853413,-0.049690485,0.1269297,-0.14739525,0.010794198,-0.04409118,0.108617015,-0.03130989,0.14093667,-0.15194222,-0.0065847873
7,-0.10383184,0.14164522,-0.09965151,-0.07180578,-0.08385377,0.03982598,-0.0881212,0.09913191,-0.1003482,-0.032389805,-0.16944014,0.029508755,-0.08339294,0.08120025,-0.08441943,0.02625701,-0.16277523,0.01034244,-0.06990529,0.08312227,-0.06350217,0.10005636,-0.15393795,0.015636142,-0.053798676,0.09631948,-0.040347226,0.12458636,-0.14982498,0.011354848,-0.03344595,0.11527321,-0.02098958,0.14064571,-0.15474983,0.001299783
8,-0.100790724,0.13623782,-0.09882308,-0.08031624,-0.08863994,0.03402551,-0.0865655,0.08626171,-0.09878806,-0.036727164,-0.17010139,0.030557116,-0.08080405,0.08064032,-0.078721516,0.024101688,-0.1615348,0.0056288643,-0.06379104,0.085816845,-0.0542639,0.099092364,-0.15268031,0.013956428,-0.044593435,0.10269647,-0.02736141,0.12126427,-0.14854221,0.009870079,-0.01949395,0.12159246,-0.0051875114,0.138152,-0.15454572,0.0024321927
9,-0.09864671,0.13045369,-0.098995194,-0.08794784,-0.09396264,0.028374461,-0.08612164,0.07201428,-0.099077865,-0.03890023,-0.17197986,0.034157783,-0.080657266,0.07629796,-0.07597301,0.025829794,-0.15923487,0.007864389,-0.061478622,0.08497842,-0.048749913,0.100811645,-0.14965908,0.022477645,-0.03991933,0.10836631,-0.017285474,0.11716991,-0.14460675,0.01492441,-0.008746486,0.12915035,0.009249368,0.13379225,-0.15200987,0.004941311
10,-0.09675283,0.12292227,-0.099846035,-0.09527319,-0.09667339,0.023903284,-0.08618091,0.05612391,-0.09985337,-0.04239575,-0.1721951,0.038005214,-0.080555946,0.07285577,-0.0727862,0.024345089,-0.1564814,0.0058830716,-0.058093343,0.08563484,-0.041968267,0.10106528,-0.14694045,0.024111042,-0.033639558,0.11283231,-0.00621652,0.113417275,-0.14091346,0.01642406,0.0029041753,0.1344891,0.024628496,0.128935,-0.14867991,0.006265701
11,-0.09625754,0.11280313,-0.1019973,-0.10325944,-0.09878558,0.021044465,-0.08737101,0.040343646,-0.101399265,-0.046938423,-0.17362048,0.041102678,-0.080990374,0.070356235,-0.06984857,0.021501329,-0.15517953,0.00020263996,-0.054620605,0.087915055,-0.034912657,0.10147702,-0.1459702,0.018768892,-0.026829224,0.11587879,0.0043553426,0.112286955,-0.13877083,0.016411547,0.013621539,0.13693699,0.038894244,0.12568061,-0.14518689,0.009526568
12,-0.10003058,0.10597368,-0.107990585,-0.11243355,-0.101584084,0.018731667,-0.09228081,0.027154176,-0.10727694,-0.052297894,-0.17712486,0.045888882,-0.08568028,0.06403465,-0.07221619,0.019440453,-0.15447083,0.0011841091,-0.056591604,0.08684714,-0.033848558,0.102058366,-0.14502583,0.023083555,-0.026031723,0.116290964,0.009901822,0.10953533,-0.13520493,0.025403403,0.019417986,0.14001723,0.05107008,0.119124055,-0.13843186,0.013092029
13,-0.10295968,0.09741807,-0.11310062,-0.12215662,-0.10445152,0.0126495,-0.09623141,0.0139906835,-0.11210071,-0.057821408,-0.1823534,0.04604698,-0.089381546,0.054097373,-0.07349873,0.017478166,-0.15483114,-0.0009294917,-0.057484616,0.0831266,-0.030661812,0.10172326,-0.14484525,0.02233513,-0.02280206,0.11497766,0.018675417,0.10748041,-0.13304754,0.027239334,0.028517751,0.14101595,0.06681032,0.11407252,-0.1332551,0.008729854
14,-0.10874797,0.088348396,-0.12057534,-0.13258788,-0.10754146,0.0080648335,-0.1024735,0.001761375,-0.11912231,-0.064552896,-0.18851683,0.046752296,-0.095051244,0.045579482,-0.076834396,0.013919831,-0.1563972,-0.0023251215,-0.060090255,0.08147441,-0.028770702,0.09910319,-0.14554653,0.020212354,-0.020285698,0.11519004,0.02584468,0.105277404,-0.13264087,0.029939543,0.036256757,0.14090198,0.08000806,0.1098367,-0.12989269,0.00948212
15,-0.114946835,0.08097805,-0.12791894,-0.14325115,-0.11120523,0.004482568,-0.10858137,-0.008231369,-0.12582323,-0.07183624,-0.19565237,0.04747291,-0.10029051,0.038189005,-0.08000612,0.009887649,-0.15915786,-0.004238221,-0.06240726,0.08073703,-0.026761498,0.095870085,-0.1473178,0.014949838,-0.017361578,0.11494226,0.03241647,0.10353385,-0.13368124,0.032162614,0.043465976,0.13881977,0.091875255,0.10624446,-0.1279561,0.011958589
16,-0.120811775,0.07586612,-0.13457997,-0.152976,-0.11606491,0.0018691332,-0.11426362,-0.015842171,-0.13193765,-0.07838966,-0.20350888,0.049314246,-0.105195954,0.029969692,-0.08317345,0.006644141,-0.16207944,-0.0039360244,-0.06488696,0.07900724,-0.024933912,0.09255314,-0.14913988,0.010363045,-0.014599598,0.114440806,0.03888781,0.10165886,-0.13496462,0.03367557,0.050626308,0.13648947,0.10341113,0.10291157,-0.1267346,0.013577305
17,-0.1255887,0.07102253,-0.14002943,-0.16116782,-0.12230005,-0.0002920255,-0.11910893,-0.022174397,-0.13703342,-0.08329307,-0.21210672,0.052314837,-0.10960466,0.020266829,-0.08615266,0.005409917,-0.16454354,-0.0006426546,-0.067602985,0.07576135,-0.023273995,0.09046242,-0.15046418,0.008647125,-0.012322717,0.11306189,0.045417055,0.10021032,-0.1355561,0.036203183,0.05766316,0.13414375,0.11514077,0.10003872,-0.12516867,0.014395241
18,-0.12900898,0.06668835,-0.14386104,-0.16820997,-0.12898979,-0.0045500146,-0.122556314,-0.027711652,-0.14061806,-0.08748581,-0.22047955,0.052040134,-0.11267023,0.011995008,-0.08808853,0.0051591955,-0.16751342,-0.00040634448,-0.06947809,0.07318139,-0.021376353,0.089939706,-0.15242353,0.004938854,-0.010041133,0.111902386,0.051224645,0.099943146,-0.13741185,0.036658928,0.063847244,0.13123326,0.124687634,0.099725254,-0.12706645,0.01618642
19,-0.13601404,0.06630519,-0.15176716,-0.17124662,-0.13000654,-0.0074726855,-0.13013944,-0.029312879,-0.14817934,-0.0891531,-0.22306424,0.052411094,-0.120062254,0.0009588201,-0.09505568,0.001515425,-0.16567396,0.00014874054,-0.07579317,0.068511106,-0.024516845,0.08396633,-0.14980067,0.002281158,-0.012365844,0.10962141,0.05346724,0.09386652,-0.13241042,0.03828576,0.066929065,0.13155027,0.13261281,0.09374189,-0.12195631,0.01941728
20,-0.14152828,0.06496904,-0.15833308,-0.17175208,-0.13052538,-0.010466547,-0.13675873,-0.031253096,-0.15467918,-0.08875932,-0.22438136,0.052775625,-0.12691188,-0.009955264,-0.10180582,-0.0015902136,-0.16274661,0.0006821366,-0.08200893,0.064011216,-0.027712546,0.07820277,-0.14620717,-0.0011042526,-0.014911385,0.107291535,0.05557518,0.088193096,-0.12632638,0.037629485,0.069671564,0.13240904,0.13999642,0.08870686,-0.116973415,0.020185443
21,-0.1430246,0.060410365,-0.16057894,-0.17094648,-0.1348799,-0.015278551,-0.13970888,-0.035695426,-0.15753593,-0.08672574,-0.22802854,0.051486872,-0.13077424,-0.017374683,-0.1057304,-0.0009986137,-0.16185272,6.749241e-05,-0.086108536,0.061711155,-0.029312916,0.07788627,-0.14468278,-0.0046520783,-0.016649064,0.10599953,0.057213474,0.08751735,-0.123794414,0.03650664,0.07124594,0.13231674,0.1441369,0.08993475,-0.118773334,0.022935668
22,-0.14382945,0.055653956,-0.16215624,-0.16925213,-0.13774678,-0.0170478,-0.14196786,-0.040057518,-0.15961197,-0.08421942,-0.23038246,0.05314955,-0.13388371,-0.024111195,-0.10910873,-0.000860253,-0.16038986,0.002465552,-0.08956633,0.05985146,-0.030497573,0.07676137,-0.14292003,-0.0055178693,-0.017842902,0.104599655,0.05912686,0.08677845,-0.12068226,0.037073873,0.073035374,0.131678,0.14855433,0.09065027,-0.11853972,0.024673186
23,-0.14430411,0.05116348,-0.1633738,-0.16697434,-0.14029925,-0.01727523,-0.14392322,-0.04375554,-0.16138102,-0.081329964,-0.23252684,0.05649385,-0.1367709,-0.030593578,-0.11241618,-0.00037562422,-0.15863161,0.0069209314,-0.09301071,0.057978168,-0.031880938,0.07554499,-0.14098315,-0.004231639,-0.019229967,0.103047244,0.06060845,0.08616495,-0.11731012,0.037449434,0.07434506,0.1309956,0.15247665,0.09129852,-0.11742415,0.024284005
24,-0.14231475,0.04682263,-0.16208355,-0.16447459,-0.14501308,-0.020412287,-0.14364839,-0.048184946,-0.1607199,-0.078135274,-0.23604563,0.05615756,-0.13739704,-0.037001472,-0.1136232,0.0018343842,-0.15824476,0.007941054,-0.094660155,0.057275593,-0.031201137,0.07586229,-0.14057067,-0.009095543,-0.018645877,0.102744035,0.06430595,0.08707363,-0.11663235,0.032144923,0.07788453,0.13252969,0.15658386,0.09711722,-0.12589988,0.022534342
