x,y
[-3.14159265],[0.]
[-3.12057866],[0.00921912]
[-3.09956466],[0.02057952]
[-3.07855066],[0.03497805]
[-3.05753666],[0.03767991]
[-3.03652267],[0.04770284]
[-2.99449467],[0.0687353]
[-2.97348067],[0.07597657]
[-2.95246667],[0.08356107]
[-2.91043868],[0.10254791]
[-2.88942468],[0.11156322]
[-2.86841068],[0.11661398]
[-2.84739669],[0.13201312]
[-2.78435469],[0.15194987]
[-2.7213127],[0.17894808]
[-2.7002987],[0.18112823]
[-2.65827071],[0.19707035]
[-2.63725671],[0.20368427]
[-2.61624271],[0.21253171]
[-2.59522871],[0.22181497]
[-2.57421472],[0.22612658]
[-2.55320072],[0.23469886]
[-2.53218672],[0.23964028]
[-2.46914473],[0.25600924]
[-2.44813073],[0.26405111]
[-2.42711673],[0.26949606]
[-2.40610273],[0.27686341]
[-2.38508874],[0.28187844]
[-2.34306074],[0.29455107]
[-2.32204674],[0.29967681]
[-2.30103275],[0.30444014]
[-2.28001875],[0.30841455]
[-2.25900475],[0.31509082]
[-2.23799075],[0.32036506]
[-2.21697676],[0.32498606]
[-2.19596276],[0.32970058]
[-2.17494876],[0.33304494]
[-2.15393476],[0.34180044]
[-2.13292076],[0.34358108]
[-2.11190677],[0.34927046]
[-2.09089277],[0.35083417]
[-2.06987877],[0.35700568]
[-2.04886477],[0.36260214]
[-2.02785078],[0.37091675]
[-2.00683678],[0.37357393]
[-1.98582278],[0.37414887]
[-1.94379479],[0.38487231]
[-1.92278079],[0.38763677]
[-1.88075279],[0.39499458]
[-1.85973879],[0.39655678]
[-1.8387248],[0.39808939]
[-1.8177108],[0.4023716]
[-1.7966968],[0.406089]
[-1.7756828],[0.41112778]
[-1.67061282],[0.42504254]
[-1.64959882],[0.42821123]
[-1.60757082],[0.43319234]
[-1.58655683],[0.43905998]
[-1.56554283],[0.43875467]
[-1.54452883],[0.43929166]
[-1.52351483],[0.44603246]
[-1.50250083],[0.44712486]
[-1.46047284],[0.45076387]
[-1.43945884],[0.45032371]
[-1.39743085],[0.45582616]
[-1.35540285],[0.45878152]
[-1.31337486],[0.46494465]
[-1.29236086],[0.46546313]
[-1.27134686],[0.46797468]
[-1.25033286],[0.47301993]
[-1.22931886],[0.46932663]
[-1.20830487],[0.47253313]
[-1.18729087],[0.47348561]
[-1.16627687],[0.47693509]
[-1.14526287],[0.47373896]
[-1.10323488],[0.48081935]
[-1.08222088],[0.47785997]
[-1.06120688],[0.48012243]
[-1.04019289],[0.48574928]
[-0.99816489],[0.48488364]
[-0.97715089],[0.48515212]
[-0.95613689],[0.48719255]
[-0.9351229],[0.4879353]
[-0.9141089],[0.49022651]
[-0.8930949],[0.4910506]
[-0.85106691],[0.4885548]
[-0.83005291],[0.49052774]
[-0.80903891],[0.49461881]
[-0.78802491],[0.4922973]
[-0.76701092],[0.49283567]
[-0.72498292],[0.49828654]
[-0.68295492],[0.49696683]
[-0.64092693],[0.49364027]
[-0.61991293],[0.49464714]
[-0.59889893],[0.49600477]
[-0.57788494],[0.49596685]
[-0.55687094],[0.49728116]
[-0.51484294],[0.4982244]
[-0.47281495],[0.49909043]
[-0.45180095],[0.50113352]
[-0.40977295],[0.49818338]
[-0.38875896],[0.50016156]
[-0.34673096],[0.4998737]
[-0.32571696],[0.49968055]
[-0.30470297],[0.5038995]
[-0.28368897],[0.50203207]
[-0.26267497],[0.50137105]
[-0.24166097],[0.50312933]
[-0.22064698],[0.50122721]
[-0.17861898],[0.5001289]
[-0.15760498],[0.50080496]
[-0.13659098],[0.50310378]
[-0.11557699],[0.50060705]
[-0.09456299],[0.50048274]
[-0.031521],[0.50056811]
[-0.010507],[0.50128246]
[0.010507],[0.50020037]
[0.031521],[0.50245962]
[0.05253499],[0.5027699]
[0.07354899],[0.49809774]
[0.11557699],[0.49957232]
[0.13659098],[0.50098136]
[0.15760498],[0.49977776]
[0.17861898],[0.49928561]
[0.19963298],[0.50284199]
[0.22064698],[0.50062023]
[0.24166097],[0.49845922]
[0.26267497],[0.49869038]
[0.30470297],[0.50258103]
[0.32571696],[0.50284425]
[0.34673096],[0.50168632]
[0.36774496],[0.50266452]
[0.38875896],[0.5008379]
[0.40977295],[0.50178029]
[0.43078695],[0.50123163]
[0.45180095],[0.50277135]
[0.47281495],[0.50145879]
[0.51484294],[0.49983107]
[0.53585694],[0.50197742]
[0.55687094],[0.50463397]
[0.57788494],[0.49959933]
[0.59889893],[0.5070647]
[0.64092693],[0.50598689]
[0.68295492],[0.50673484]
[0.72498292],[0.50506774]
[0.78802491],[0.5099719]
[0.80903891],[0.51032595]
[0.83005291],[0.51143211]
[0.85106691],[0.50884135]
[0.8720809],[0.51024834]
[0.8930949],[0.51079097]
[0.95613689],[0.51651503]
[0.97715089],[0.51953613]
[1.01917889],[0.51596298]
[1.04019289],[0.52173342]
[1.06120688],[0.51980873]
[1.08222088],[0.52105738]
[1.10323488],[0.52132852]
[1.12424888],[0.52216222]
[1.14526287],[0.52646322]
[1.16627687],[0.52689341]
[1.20830487],[0.52889256]
[1.22931886],[0.53156548]
[1.25033286],[0.53123958]
[1.27134686],[0.53377722]
[1.29236086],[0.53587748]
[1.31337486],[0.53929825]
[1.33438885],[0.54040269]
[1.35540285],[0.54002069]
[1.37641685],[0.54389717]
[1.39743085],[0.54804148]
[1.41844484],[0.54951976]
[1.43945884],[0.55000736]
[1.46047284],[0.55107821]
[1.48148684],[0.55621175]
[1.50250083],[0.55676899]
[1.52351483],[0.55965803]
[1.54452883],[0.56044888]
[1.60757082],[0.56829174]
[1.62858482],[0.57152686]
[1.67061282],[0.57667623]
[1.71264081],[0.58313997]
[1.75466881],[0.58569744]
[1.7756828],[0.5910463]
[1.7966968],[0.59458384]
[1.8177108],[0.59884202]
[1.8387248],[0.60154638]
[1.85973879],[0.60373604]
[1.88075279],[0.60926099]
[1.90176679],[0.60967447]
[1.92278079],[0.61489571]
[1.94379479],[0.61749473]
[1.96480878],[0.6247328]
[1.98582278],[0.62838008]
[2.02785078],[0.63712709]
[2.04886477],[0.63920054]
[2.09089277],[0.64761724]
[2.11190677],[0.65325024]
[2.13292076],[0.65623158]
[2.15393476],[0.66101236]
[2.17494876],[0.66938396]
[2.19596276],[0.67407758]
[2.21697676],[0.67855502]
[2.25900475],[0.68752441]
[2.28001875],[0.69175382]
[2.30103275],[0.69720716]
[2.32204674],[0.70154013]
[2.34306074],[0.70961045]
[2.38508874],[0.72040857]
[2.40610273],[0.72341099]
[2.44813073],[0.74000951]
[2.46914473],[0.74342741]
[2.49015873],[0.75362287]
[2.51117272],[0.75731896]
[2.53218672],[0.75929831]
[2.55320072],[0.77036752]
[2.57421472],[0.77376306]
[2.59522871],[0.77961049]
[2.63725671],[0.79375325]
[2.65827071],[0.80332082]
[2.6792847],[0.81033933]
[2.7002987],[0.81981676]
[2.7213127],[0.82731646]
[2.7423267],[0.83388462]
[2.7633407],[0.84230221]
[2.80536869],[0.85451289]
[2.82638269],[0.86690323]
[2.84739669],[0.87539459]
[2.86841068],[0.88022532]
[2.88942468],[0.89078678]
[2.93145268],[0.90629854]
[2.95246667],[0.91713166]
[2.97348067],[0.92412262]
[3.01550867],[0.94348574]
[3.03652267],[0.95328645]
[3.05753666],[0.96338329]
[3.07855066],[0.97219989]
[3.09956466],[0.97749228]
[3.12057866],[0.99267132]
[3.14159265],[1.]
