Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.018873647,0.03149204,0.01900581,-0.012178499,-0.04260784,-0.04007092,0.018638413,0.035327505,0.01889934,-0.013874818,-0.042902447,-0.039643265,0.018801685,0.034219116,0.018953376,-0.012931017,-0.043155406,-0.039876472,0.037197348,0.033323254,0.037521698,-0.012798181,-0.043688778,-0.040210593,0.03518895,0.03388564,0.035136223,-0.01138448,-0.043984592,-0.040806677,0.012002471,0.037188638,0.012141267,-0.009290507,-0.04381015,-0.039993703
2,0.01842182,0.056022614,0.02015822,0.013140699,-0.07499848,-0.07062783,0.013730809,0.054143667,0.016694771,0.015235285,-0.075071596,-0.06170944,0.009354328,0.045227043,0.012087307,0.01750389,-0.077353664,-0.059942413,0.021596914,0.03798759,0.023750432,0.017803924,-0.08365302,-0.06077075,0.012008265,0.036946915,0.012721214,0.021339752,-0.08867205,-0.064769484,-0.019994553,0.047675412,-0.019903263,0.026386008,-0.089804426,-0.06830605
3,0.021221181,0.09243134,0.02463105,0.033142824,-0.11794082,-0.10698384,0.016792577,0.08221148,0.022251666,0.042071484,-0.117784716,-0.09324992,0.011032302,0.0652578,0.01622747,0.044413857,-0.121021494,-0.09099446,0.019931711,0.05080798,0.023957022,0.043821115,-0.12950021,-0.0918753,0.005449758,0.04623116,0.0072714556,0.047817983,-0.13565095,-0.09774859,-0.03264406,0.06015099,-0.032060206,0.05381859,-0.13686135,-0.10440228
4,0.018469436,0.12370905,0.023831753,0.044925787,-0.15298,-0.12805909,0.019145003,0.10953297,0.026476657,0.059053767,-0.150892,-0.112389736,0.015484419,0.08800082,0.022714758,0.06041334,-0.15402767,-0.11168877,0.02489041,0.06766591,0.030503675,0.059007958,-0.16329396,-0.11366651,0.009072187,0.058053706,0.011852856,0.063384935,-0.16960554,-0.12185061,-0.032445904,0.07081793,-0.031431038,0.06972469,-0.17008862,-0.13167089
5,0.003568203,0.14125024,0.011529976,0.054871522,-0.17489645,-0.13443919,0.010951265,0.12761343,0.019938257,0.072449125,-0.16863467,-0.117491856,0.010333811,0.104866035,0.019364193,0.07217892,-0.17055923,-0.11875656,0.021734225,0.08035057,0.028310724,0.07062935,-0.18069056,-0.12246452,0.0055050217,0.06485042,0.008315115,0.0761575,-0.18809947,-0.13383953,-0.03949106,0.074153714,-0.039046813,0.08300495,-0.1864853,-0.1472311
6,-0.004864584,0.14357378,0.004559192,0.06275309,-0.19327806,-0.13489278,0.008741773,0.13161804,0.017054353,0.08180878,-0.18200041,-0.12169688,0.009916153,0.11184403,0.019088412,0.07815647,-0.18168823,-0.12537934,0.023741513,0.08703068,0.029787911,0.07665516,-0.1926945,-0.13124774,0.0076511214,0.067140855,0.009328448,0.08374062,-0.20138359,-0.14694855,-0.040748727,0.07326163,-0.04157877,0.09123449,-0.19912232,-0.16614626
7,-0.008677817,0.13649334,0.00085918576,0.070797384,-0.20624314,-0.1318636,0.009389451,0.12655085,0.015479722,0.089075305,-0.1891473,-0.12464206,0.010930673,0.11210422,0.018945256,0.08116482,-0.18591769,-0.12990218,0.026782153,0.08982092,0.031288564,0.07957542,-0.19783287,-0.13737577,0.01117677,0.06677887,0.011072827,0.08824911,-0.20835084,-0.15749283,-0.04001368,0.06948825,-0.04246483,0.09654257,-0.20687923,-0.18378331
8,-0.008773049,0.12569793,0.0007359928,0.08039713,-0.20780838,-0.12226654,0.012580541,0.1181484,0.01571087,0.09699407,-0.18523127,-0.12243498,0.012629637,0.109048344,0.018734967,0.08425774,-0.17953105,-0.13003784,0.029105972,0.08964436,0.031188738,0.082598165,-0.19336797,-0.13943928,0.012669524,0.063153274,0.009952024,0.09290457,-0.20684324,-0.16416472,-0.04252451,0.06167004,-0.047227055,0.101951845,-0.20641027,-0.19793993
9,-0.0074385004,0.11236444,0.0010777181,0.09195711,-0.20961878,-0.10989155,0.016511034,0.10787427,0.01562018,0.10363905,-0.18107216,-0.118560955,0.014970556,0.10549226,0.01811576,0.08527267,-0.17286827,-0.12883918,0.032494877,0.09057775,0.031530492,0.08316749,-0.18829918,-0.1398826,0.016436547,0.061301168,0.011058289,0.0950401,-0.20481661,-0.16893955,-0.041198354,0.05491189,-0.047902957,0.10497503,-0.20657045,-0.21056336
10,-0.007935713,0.09892295,-0.0010346854,0.10261423,-0.21072268,-0.09377138,0.019173544,0.09966708,0.013455321,0.107375994,-0.17706159,-0.11205205,0.017081853,0.10443236,0.016318431,0.08354086,-0.16727495,-0.12695122,0.036663905,0.093643434,0.031859912,0.081564605,-0.18445148,-0.14047483,0.02175374,0.061009705,0.0134548955,0.095454656,-0.20401475,-0.17408176,-0.03773388,0.0488434,-0.046344988,0.10646108,-0.20842129,-0.22370832
11,-0.007191751,0.08611235,-0.0016408244,0.111807615,-0.21310212,-0.07773657,0.023678653,0.09218785,0.013099752,0.110385194,-0.17400292,-0.10541926,0.021217283,0.1040372,0.016140884,0.08141215,-0.16272978,-0.12576556,0.042542223,0.09726162,0.033414774,0.079664126,-0.18147132,-0.14200865,0.028342325,0.061611123,0.01695138,0.09554227,-0.2040211,-0.17996594,-0.03323611,0.043338683,-0.04368774,0.107539676,-0.21091813,-0.2371322
