Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.026282717,0.033735897,-0.023881193,-0.0036651203,0.036770426,0.010505035,-0.029895153,0.041017905,-0.027659927,0.008413061,0.033703793,0.0070737717,-0.03497914,0.041912954,-0.03360447,0.017755136,0.03273713,0.0062204353,-0.035938017,0.04230229,-0.035108715,0.022516385,0.033129733,0.0061198296,-0.03270607,0.043072656,-0.03218088,0.025051126,0.034900457,0.006382373,-0.029496085,0.044848118,-0.02920533,0.02630464,0.040442444,0.0068946155
2,-0.04559016,0.04344012,-0.041525204,0.013374939,0.026176825,0.025051057,-0.03937361,0.06604521,-0.036451586,0.03613142,0.019031694,0.008603545,-0.037025124,0.0676178,-0.035624728,0.048582878,0.01745557,0.0017903075,-0.03222191,0.066775344,-0.031582434,0.054288294,0.018655939,-0.00065702084,-0.024390198,0.06648489,-0.024013868,0.057141095,0.022472324,-0.0012030322,-0.017364284,0.068692796,-0.01705993,0.05857105,0.03490085,-0.0022708979
3,-0.057871167,0.05693162,-0.050615255,0.007691198,0.044929158,0.031202013,-0.046117906,0.09516127,-0.04097684,0.03371008,0.032393616,0.005559098,-0.03984833,0.097542964,-0.038128335,0.049050584,0.028331827,-0.004963206,-0.033295047,0.09590487,-0.033603247,0.05594748,0.028562833,-0.0074421894,-0.025278622,0.095107235,-0.02649564,0.05940138,0.03259851,-0.005521302,-0.019366674,0.097420536,-0.020654758,0.06141036,0.048670802,-0.0014633039
4,-0.062666476,0.060197067,-0.055056226,0.014690533,0.04806853,0.041722592,-0.0470281,0.10700936,-0.040947277,0.042053837,0.03406649,0.008105793,-0.036869287,0.10946706,-0.034826685,0.058402233,0.029414855,-0.007696476,-0.02741873,0.106815696,-0.02829455,0.06525487,0.029381193,-0.012274017,-0.017749107,0.10565625,-0.019925652,0.068478465,0.033676505,-0.010384684,-0.011016774,0.10844638,-0.012841542,0.070405625,0.052227907,-0.006260105
5,-0.065440446,0.05502046,-0.058057718,0.011974944,0.055837907,0.04582944,-0.04863963,0.11276107,-0.041353967,0.03862653,0.03947503,0.007303832,-0.03576077,0.116210945,-0.034129366,0.05659007,0.033008974,-0.0104486365,-0.025353996,0.113795646,-0.027672943,0.06402371,0.032184627,-0.014499472,-0.016059512,0.11339665,-0.01970576,0.06750979,0.03667755,-0.011505453,-0.010245783,0.11752931,-0.013030126,0.06967702,0.057269845,-0.00628187
6,-0.06502941,0.04635555,-0.05892412,0.009736097,0.057625555,0.0459464,-0.04856085,0.111406565,-0.04038972,0.038111415,0.039469708,0.0037073905,-0.033089496,0.115674,-0.0320006,0.057039887,0.03187089,-0.015012613,-0.021641705,0.11418671,-0.02554279,0.06442968,0.030575093,-0.017847901,-0.012793969,0.11514706,-0.017843604,0.067838155,0.0353414,-0.014203222,-0.007892743,0.120981686,-0.0113849845,0.07004962,0.057107642,-0.0100469785
7,-0.06368038,0.038099073,-0.059515633,0.0076296544,0.058475055,0.04909324,-0.04812859,0.1080902,-0.040512156,0.03643927,0.039534908,0.005022578,-0.031271964,0.11259783,-0.031974617,0.05543285,0.03137376,-0.012977933,-0.019781463,0.11237738,-0.02576473,0.06252009,0.030117098,-0.014531659,-0.011608355,0.11447307,-0.017880479,0.06584906,0.03557498,-0.011753098,-0.0071409787,0.12180764,-0.011085417,0.06803299,0.058310032,-0.01046429
8,-0.056716576,0.03349638,-0.054212414,0.0044046836,0.057717692,0.045272335,-0.042283155,0.103899926,-0.03629171,0.03652344,0.037332483,0.001496447,-0.02536799,0.10755736,-0.02894051,0.055085275,0.02902869,-0.0137410415,-0.0151999,0.109189615,-0.02408486,0.06127069,0.028106712,-0.012526082,-0.008834647,0.112694986,-0.016700123,0.06423043,0.034570977,-0.010086222,-0.0055060913,0.12136229,-0.009942714,0.06623917,0.058244094,-0.0119908815
9,-0.050437097,0.02816409,-0.050005045,0.002554606,0.05555928,0.046034273,-0.037173096,0.09782621,-0.032848515,0.03613194,0.035387937,0.002074732,-0.020082902,0.10110215,-0.026093137,0.053744685,0.027078507,-0.01170754,-0.010763772,0.10444699,-0.022192676,0.05894669,0.026248066,-0.008794077,-0.0057895617,0.10927414,-0.01502041,0.061629284,0.033551157,-0.007343567,-0.0033197303,0.11920999,-0.0080344165,0.063563414,0.05792378,-0.0131769935
10,-0.043604493,0.02685981,-0.044632398,-0.00055320445,0.054574057,0.043908343,-0.031218601,0.09410383,-0.028889488,0.034789696,0.03410465,0.0010959168,-0.01472338,0.09666655,-0.023397297,0.051741164,0.025863856,-0.010419073,-0.0068808217,0.10166784,-0.020976376,0.055977654,0.025188388,-0.0052729556,-0.0036884777,0.10768948,-0.014506391,0.05834114,0.03332453,-0.0039818967,-0.0024396216,0.11853401,-0.007667271,0.060201813,0.05848125,-0.012671985
11,-0.037133735,0.02530862,-0.039540358,0.002681728,0.0516158,0.044606175,-0.024822026,0.09006562,-0.023908239,0.03718388,0.03220656,0.0016717594,-0.008154065,0.09200773,-0.018602774,0.053191938,0.02413392,-0.009277689,-0.00081029744,0.098025754,-0.016959669,0.056499965,0.023352958,-0.0030464684,0.0013494246,0.10481856,-0.010772303,0.058600713,0.03218921,-0.002044437,0.001969337,0.116075665,-0.003442274,0.060460173,0.058422394,-0.013611694
12,-0.03313665,0.025571095,-0.03628413,0.0018047091,0.05263091,0.04350832,-0.02071473,0.08991704,-0.021082904,0.035,0.033116445,0.001261455,-0.0042781318,0.091426454,-0.016552983,0.050773837,0.024871452,-0.008502313,0.0020284909,0.09850299,-0.016141325,0.053454086,0.023930892,-0.0008289673,0.0028295803,0.10600647,-0.010913396,0.05532006,0.033189464,0.0008559346,0.0021659797,0.11753168,-0.004104679,0.057156686,0.06012839,-0.011434745
13,-0.030941274,0.025135703,-0.03442536,0.0045089787,0.052992184,0.042640522,-0.017867386,0.09125195,-0.018754387,0.03642631,0.033135418,0.0002433699,-0.0008747825,0.09218169,-0.014217915,0.051994003,0.024684628,-0.0091663655,0.005205903,0.09982613,-0.01437277,0.05407241,0.023419447,-0.0005236324,0.005320415,0.10764456,-0.009685961,0.05569458,0.032990854,0.00204221,0.003955443,0.11890297,-0.0029164478,0.057507746,0.060595788,-0.010477457
14,-0.03153338,0.023188854,-0.035203736,0.010326029,0.05369788,0.044296872,-0.017389514,0.093326025,-0.018189931,0.038975343,0.033909652,0.00095920154,0.0008484777,0.09384217,-0.012920543,0.05434846,0.025164634,-0.009049771,0.007409895,0.101732776,-0.01304677,0.05592941,0.023385549,-0.00020923169,0.007451917,0.10973353,-0.008545341,0.057315137,0.033108138,0.0030728648,0.0058437055,0.12048764,-0.0015537355,0.05909827,0.061247677,-0.009264556
15,-0.031991705,0.021891052,-0.035640754,0.010691443,0.05671764,0.04294253,-0.017065408,0.09591689,-0.017817767,0.0369085,0.03604197,-0.0006016329,0.0019304105,0.09653684,-0.012352869,0.052723892,0.026722027,-0.010769974,0.008321461,0.10513669,-0.013041373,0.054046232,0.024422199,-0.0013735995,0.0077055395,0.113608085,-0.009513276,0.055299416,0.034117837,0.003235738,0.0049665757,0.124219224,-0.0035043452,0.057098996,0.0623253,-0.0074535306
