Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.048456475,0.005911527,0.048695594,0.005859311,-0.008563718,-0.044668578,0.039077282,0.026621366,0.040276196,0.020879544,-0.0069002444,-0.028659923,0.032669038,0.024440091,0.03390462,0.027536908,-0.009179277,-0.026706679,0.027158683,0.021399185,0.028046945,0.030427601,-0.01406674,-0.02897907,0.021492109,0.022381695,0.021843497,0.031533957,-0.02350705,-0.03390226,0.014655283,0.032677025,0.0143978065,0.03142358,-0.048399795,-0.0431832
2,0.07347084,0.053105097,0.07304881,0.008060772,-0.014572577,-0.08285849,0.057486244,0.07746054,0.058451816,0.049017325,-0.010122296,-0.044421177,0.0465545,0.0694431,0.04832791,0.06122593,-0.01633617,-0.035546646,0.038137585,0.0605807,0.039735112,0.06587884,-0.028190436,-0.035923053,0.030263107,0.058493752,0.03107865,0.067929156,-0.049038317,-0.04265345,0.020963294,0.070697166,0.020676265,0.06875027,-0.09753114,-0.061772484
3,0.07350481,0.08323589,0.074708916,0.022779895,-0.029779678,-0.0991162,0.05417587,0.10467063,0.056371585,0.072965436,-0.025948111,-0.048889533,0.04268699,0.091137275,0.045709554,0.08365119,-0.03410132,-0.03563255,0.034651425,0.07923232,0.03753599,0.08610497,-0.048960097,-0.033995267,0.027693579,0.077414945,0.029474443,0.08662919,-0.07472404,-0.040643204,0.019471016,0.09289428,0.019326145,0.08706518,-0.13299437,-0.06344092
4,0.066900544,0.07795191,0.07334326,0.033741977,-0.049444374,-0.10606247,0.0491829,0.09303731,0.0533509,0.087302834,-0.047801863,-0.056685973,0.039446473,0.07684076,0.043538615,0.09327935,-0.054772448,-0.042721264,0.032643292,0.067345455,0.036609847,0.0917171,-0.06880339,-0.04104085,0.026878936,0.071382955,0.028856784,0.089970596,-0.09516072,-0.04834026,0.018903075,0.09515807,0.01720156,0.089763165,-0.1567807,-0.07258874
5,0.050825827,0.06941438,0.0611669,0.03772074,-0.062224433,-0.09708049,0.040495835,0.07390664,0.045021962,0.09604642,-0.06272373,-0.05270632,0.0343029,0.0561075,0.0383617,0.09758233,-0.067126445,-0.04054975,0.029759953,0.05130576,0.03391472,0.09267571,-0.07865296,-0.04077499,0.025872346,0.061999597,0.027180593,0.08985059,-0.10370778,-0.05006458,0.018376568,0.09252776,0.014209462,0.09023841,-0.16758187,-0.0788303
6,0.031501625,0.06805952,0.044222407,0.03365789,-0.07622781,-0.0890462,0.03118223,0.060794093,0.035159297,0.09783635,-0.07808117,-0.048578586,0.030594766,0.041701153,0.034065675,0.096306495,-0.08006834,-0.038048565,0.030121416,0.04174228,0.033977147,0.08919838,-0.089364454,-0.040293097,0.029578855,0.058059633,0.030031975,0.08613227,-0.113224,-0.051785987,0.02395306,0.09281855,0.017632287,0.08762367,-0.17954427,-0.086945556
7,0.03052597,0.07398512,0.04583452,0.041546743,-0.07927584,-0.082738206,0.033521943,0.053974036,0.038005017,0.105941355,-0.08238223,-0.04423227,0.033945955,0.03197552,0.0378142,0.09970147,-0.08211015,-0.034589104,0.03412135,0.034869403,0.0384192,0.089371495,-0.08964904,-0.038981307,0.034294937,0.053959537,0.03462513,0.08513715,-0.11271985,-0.053628553,0.02880149,0.08956994,0.020889418,0.08686854,-0.18114974,-0.097201675
8,0.0256745,0.08804317,0.042783424,0.0508988,-0.08101748,-0.085037924,0.030625064,0.057984345,0.03533588,0.11363781,-0.085124604,-0.043572765,0.031864647,0.032486454,0.035917025,0.10326296,-0.08342304,-0.031994455,0.0329214,0.036465757,0.037531205,0.09027802,-0.089938454,-0.036146667,0.034416262,0.056090906,0.03485054,0.08514014,-0.1127145,-0.051958382,0.03031149,0.09026188,0.021555975,0.087164216,-0.18324137,-0.102414645
9,0.026466193,0.099079534,0.04519354,0.059508402,-0.07991744,-0.08628822,0.032283105,0.060821906,0.037186593,0.120267995,-0.08439719,-0.042365033,0.0334299,0.032555908,0.037687063,0.1062143,-0.08133464,-0.029708214,0.034693968,0.037340067,0.03950122,0.09098463,-0.087087594,-0.03446879,0.03670963,0.056853343,0.03696302,0.08508295,-0.10971172,-0.052300077,0.032905,0.089487374,0.02302491,0.08714067,-0.18172146,-0.10954923
10,0.020637562,0.1069813,0.041151986,0.062374197,-0.080319114,-0.087004565,0.030106973,0.061292022,0.034909364,0.1233087,-0.084502965,-0.041019846,0.0329655,0.03106579,0.03714722,0.10665821,-0.08007365,-0.028221425,0.035732314,0.03701673,0.040380146,0.09011454,-0.08513001,-0.034344345,0.03893424,0.056563262,0.038462497,0.08416869,-0.10763454,-0.05465755,0.03527219,0.08834381,0.02369856,0.086556114,-0.18115303,-0.1185896
11,0.016210355,0.112800084,0.0386987,0.064426474,-0.079636656,-0.086668804,0.029268917,0.060047854,0.03390607,0.12588397,-0.08331777,-0.03918397,0.033589873,0.02823389,0.03768322,0.10676282,-0.077487454,-0.026978385,0.037749708,0.035674162,0.042177454,0.08897507,-0.081960216,-0.035214745,0.041958243,0.055395063,0.04061214,0.08301416,-0.10442398,-0.058556806,0.038076468,0.08658125,0.024633445,0.08564497,-0.17908211,-0.1288793
12,0.012357105,0.11870889,0.03643002,0.0664189,-0.079154976,-0.08756746,0.028517678,0.059953615,0.032782093,0.127987,-0.08235732,-0.038060002,0.03423599,0.026994381,0.03817574,0.1063511,-0.075452,-0.026503468,0.0399449,0.03619462,0.044092648,0.087270215,-0.07970153,-0.03679037,0.045386624,0.056173857,0.043157484,0.08125698,-0.102304496,-0.062684834,0.041682385,0.08671907,0.026538689,0.084096834,-0.17772596,-0.13809882
13,0.008990786,0.12510534,0.03473368,0.069263354,-0.07750981,-0.08906156,0.027749257,0.060499117,0.031591706,0.13083054,-0.0804058,-0.037174426,0.03438636,0.02600042,0.03815248,0.10662923,-0.072562836,-0.026164839,0.041332964,0.036780316,0.045176942,0.086169094,-0.07670366,-0.038544744,0.04776305,0.057044305,0.044648044,0.07998087,-0.099547274,-0.06693147,0.044107843,0.08705511,0.027285011,0.08294985,-0.17568393,-0.14679973
