Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.041346695,0.03391803,0.040165033,-0.024991779,-0.011023862,-0.051221497,0.030303385,0.02323378,0.030052982,-0.0021969005,-0.0072405916,-0.036089562,0.022584993,0.014215142,0.022217609,0.006951266,-0.009009112,-0.032882858,0.015300339,0.010119943,0.014542383,0.011948558,-0.014196809,-0.03411128,0.0069646575,0.010871408,0.0058345846,0.015516719,-0.026754107,-0.038235545,-0.0034852417,0.0202611,-0.004640569,0.018516215,-0.05949405,-0.047051877
2,0.046204887,0.06896401,0.037986867,-0.06054359,-0.029739153,-0.08927482,0.03465047,0.044839367,0.030766869,-0.009179601,-0.02186945,-0.063420705,0.025561256,0.026165597,0.023324117,0.013321675,-0.02337308,-0.05603905,0.016281659,0.015897403,0.014282591,0.026319169,-0.029999979,-0.055105273,0.004407948,0.0137926545,0.0019985097,0.035907123,-0.04747304,-0.05882213,-0.012653247,0.026862735,-0.015306014,0.043929268,-0.091771856,-0.07106616
3,0.026563704,0.09212359,0.012018789,-0.11236891,-0.04182375,-0.09691897,0.021352015,0.060858313,0.013498636,-0.041496955,-0.029995797,-0.06884879,0.015914429,0.035492953,0.011646309,-0.0062598456,-0.028715542,-0.060694393,0.009389973,0.019958736,0.006411368,0.015635833,-0.031728465,-0.058206394,-0.00063774944,0.014592241,-0.0037013006,0.03227731,-0.046230756,-0.06056894,-0.016982973,0.02946954,-0.020209495,0.045926165,-0.09480063,-0.074414305
4,0.013802778,0.084279045,-0.0022107754,-0.15354764,-0.06958952,-0.10392584,0.014458929,0.05440045,0.005284669,-0.06661394,-0.055082876,-0.07848524,0.011698186,0.026910132,0.006594777,-0.021109985,-0.052494787,-0.071103275,0.0066660033,0.009404851,0.003260806,0.007687104,-0.054265555,-0.06766881,-0.0027440172,0.003564632,-0.006067718,0.02968245,-0.06761776,-0.06837217,-0.019510675,0.02287457,-0.022756405,0.04741019,-0.11419499,-0.08089991
5,-0.0017685932,0.11114366,-0.015400319,-0.16656704,-0.068409845,-0.08795555,0.009987043,0.0736071,0.0026438623,-0.069438316,-0.06857818,-0.075572975,0.01219767,0.034144428,0.0077336873,-0.020124506,-0.069572784,-0.07274646,0.0088023245,0.009434801,0.0055383425,0.010115925,-0.07132019,-0.069501445,-0.0005337098,0.0004163428,-0.0038563197,0.032787327,-0.082691245,-0.06889664,-0.018013986,0.021703858,-0.0206927,0.0504988,-0.123341165,-0.07958602
6,-0.012609857,0.1262715,-0.02168087,-0.16792743,-0.068189934,-0.07041654,0.009662652,0.08597032,0.0055687237,-0.0651924,-0.083684236,-0.07324957,0.016621431,0.037706167,0.013306274,-0.014743373,-0.08871213,-0.0753951,0.014228342,0.0077376286,0.01125484,0.015129096,-0.09138257,-0.07270772,0.0042443364,-0.003449548,0.00096483016,0.03709517,-0.10166213,-0.07111992,-0.01466835,0.019671913,-0.016834604,0.05366096,-0.13606356,-0.080035895
7,-0.023742756,0.12477619,-0.031979475,-0.17248036,-0.07821456,-0.054289203,0.003861058,0.08967855,0.0018041797,-0.06814876,-0.09739525,-0.067229226,0.015707659,0.038371366,0.013184357,-0.016624378,-0.103785574,-0.072931595,0.01619724,0.0055211904,0.013426436,0.013784848,-0.10645351,-0.07064783,0.007970412,-0.00720292,0.004676618,0.036076337,-0.11571331,-0.06847132,-0.009850373,0.016990067,-0.011522939,0.052558508,-0.14671355,-0.07681706
8,-0.02837566,0.1231486,-0.034838103,-0.17079099,-0.08495321,-0.042697776,0.003765481,0.09295703,0.0038907214,-0.06660941,-0.109109744,-0.06484404,0.018983152,0.039698217,0.017265348,-0.015470224,-0.11708064,-0.073321,0.020852352,0.005124723,0.018257504,0.014389612,-0.12021219,-0.07138018,0.0130446255,-0.008485807,0.009724809,0.036260977,-0.12909687,-0.068723574,-0.00485612,0.016370378,-0.0062218257,0.052242868,-0.15751928,-0.0764589
9,-0.029986322,0.12740684,-0.035660002,-0.16396773,-0.08819726,-0.034611836,0.004332916,0.10064754,0.006318606,-0.061258294,-0.115916796,-0.06207163,0.02161445,0.045424562,0.020741902,-0.011514683,-0.12539229,-0.07212299,0.024001831,0.008852985,0.021568643,0.01705102,-0.1289759,-0.07028217,0.0158192,-0.005999426,0.012432784,0.03800853,-0.13772143,-0.067174815,-0.0028313673,0.018557526,-0.004009345,0.053350516,-0.16439015,-0.074399
10,-0.03477273,0.12804507,-0.04065949,-0.16669407,-0.09114224,-0.026194435,0.0011718721,0.102543004,0.0037560298,-0.06381834,-0.12141484,-0.05924256,0.020427365,0.045562714,0.019765591,-0.013494042,-0.1316344,-0.071103536,0.024039464,0.007937717,0.021676425,0.015389335,-0.13478449,-0.06952697,0.01661437,-0.007364856,0.013209896,0.03665316,-0.14293323,-0.06626672,-0.0017265588,0.01735664,-0.0028201407,0.05231705,-0.16900405,-0.07358997
