Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.04527673,0.04441663,0.04531998,0.05035278,0.04419523,0.009732347,0.04532228,0.0451676,0.045364376,0.050261702,0.03852801,0.0057184547,0.045362093,0.046016447,0.045403622,0.050099157,0.025392294,0.0008926368,0.0454015,0.046829548,0.045442194,0.049856268,0.015455064,-0.006412914,0.04544592,0.047501698,0.045485593,0.04953657,0.008022256,-0.015607569,0.045502592,0.047988452,0.045541264,0.049426965,-0.03705848,0.00037689795
2,0.09427086,0.050248317,0.09432509,0.09464319,0.06974668,0.01953372,0.094266415,0.059718397,0.09425403,0.093389615,0.02359427,0.0012617162,0.09416292,0.07044927,0.09405619,0.09171048,-0.009968495,-0.021859914,0.09398621,0.0781126,0.09380002,0.09051174,-0.025089629,-0.04251536,0.09377271,0.082430676,0.09356381,0.09033541,-0.03452132,-0.055147205,0.09353628,0.08472357,0.093363605,0.092763,-0.08250651,0.00020801654
3,0.13528153,0.035073847,0.13516694,0.12544101,0.1109346,0.038666967,0.13404334,0.05940535,0.13297462,0.12284221,0.0479453,0.01592601,0.13178104,0.08466441,0.12993532,0.12237887,-0.005958389,-0.013760598,0.12904333,0.09699015,0.12671107,0.1258826,-0.03400881,-0.038794193,0.1257844,0.10127215,0.12295402,0.13055465,-0.05017057,-0.047861237,0.12122488,0.104699224,0.118203476,0.1366259,-0.1164424,0.00027812054
4,0.14546141,0.027575882,0.14440681,0.14060025,0.16054128,0.05699858,0.14077234,0.06566141,0.13828996,0.13931994,0.092786126,0.046952657,0.13474508,0.093404256,0.13252805,0.14668868,0.030608768,0.024030847,0.12992845,0.096505545,0.12698139,0.15953977,-0.006877328,-0.0016742665,0.123982765,0.09706568,0.11769202,0.16854738,-0.032431256,-0.011613385,0.11332205,0.106714524,0.104506865,0.17488347,-0.12811404,6.8675596e-05
5,0.14146194,0.027418729,0.13930257,0.14927167,0.19573233,0.045745008,0.13427205,0.076624304,0.1308613,0.14913324,0.12514761,0.05433892,0.12580732,0.09978809,0.12479795,0.16427462,0.059020963,0.05245853,0.1211104,0.088467196,0.11927087,0.18464224,0.016543036,0.033092793,0.11477587,0.0850389,0.10610766,0.19562367,-0.016438572,0.022968648,0.100001015,0.102250956,0.08614445,0.20029885,-0.13642567,-5.6174642e-05
6,0.1452706,0.02260757,0.14285138,0.15885584,0.19639677,0.009305899,0.13913059,0.07271401,0.13569842,0.15851924,0.12186048,0.024337526,0.13184774,0.09465287,0.13059585,0.17347477,0.053392388,0.039542805,0.12773038,0.086679295,0.12479941,0.1934113,0.009639187,0.03326222,0.12023112,0.0861941,0.1091873,0.2044195,-0.027231785,0.029915731,0.10267633,0.10564886,0.08607393,0.2107182,-0.16180857,0.00036778647
7,0.14809187,0.019482583,0.14563201,0.1675847,0.17962907,-0.036356136,0.14477135,0.06683911,0.1418355,0.165592,0.10193719,-0.017021175,0.1403931,0.086653575,0.13934617,0.17715093,0.032765947,0.0141490195,0.13825348,0.084605284,0.13475825,0.19358575,-0.009953935,0.022010798,0.1309435,0.08841897,0.118416175,0.20290588,-0.047625862,0.0280869,0.11219601,0.10987649,0.09416249,0.21012574,-0.18774901,0.00066559704
8,0.13836463,0.026383746,0.13546565,0.17337295,0.17308816,-0.075298116,0.13652359,0.07369179,0.13442734,0.17069781,0.09111537,-0.049111728,0.13524103,0.085637584,0.13665989,0.18157774,0.022014817,0.008698623,0.13689618,0.07480202,0.1355776,0.19693995,-0.017455162,0.03225703,0.132142,0.07736315,0.11929949,0.20420456,-0.0527219,0.044758625,0.1131253,0.10576072,0.09278599,0.20774315,-0.19544026,0.00083967915
9,0.1290158,0.03356474,0.12581421,0.17861342,0.17601086,-0.10409092,0.12749282,0.08213903,0.12618776,0.17555898,0.08927171,-0.072033145,0.1283401,0.08923432,0.1321738,0.1865781,0.021281743,0.01297303,0.13287619,0.068355046,0.13397162,0.20243827,-0.012985895,0.052031178,0.13010961,0.0666848,0.1175471,0.2091428,-0.044199813,0.06929614,0.11080142,0.09995829,0.08852135,0.20839834,-0.19218035,0.0009833435
10,0.12906663,0.032534804,0.12607904,0.18542275,0.17518872,-0.13183169,0.12839505,0.082174174,0.12755084,0.1804091,0.08540397,-0.09721515,0.13006224,0.091507465,0.13471593,0.18989642,0.019767668,0.005965484,0.13557158,0.06992316,0.13770956,0.20564294,-0.00941089,0.057403002,0.13333565,0.0670189,0.12085845,0.21229962,-0.037037484,0.08241405,0.11336847,0.10058539,0.090384685,0.20988284,-0.19294657,0.0010034008
