Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.034347013,0.034823023,-0.034334924,0.042244617,-0.0424301,0.03602889,-0.03402075,0.03771851,-0.03363948,0.043152127,-0.04405233,0.03325669,-0.033246823,0.0412691,-0.032748643,0.04475583,-0.044905264,0.03095861,-0.032394085,0.04344238,-0.032154117,0.046547096,-0.044859536,0.029447762,-0.032004304,0.043305527,-0.032125212,0.047852144,-0.04461007,0.02936422,-0.03230593,0.041626066,-0.03254443,0.048537806,-0.044596203,0.030265233
2,-0.031168383,0.030402211,-0.031439226,0.05699973,-0.07330058,0.03854331,-0.029990131,0.04086167,-0.027825037,0.058781527,-0.08486065,0.025986327,-0.025808098,0.058425516,-0.023121774,0.067670055,-0.08956776,0.013927702,-0.021343267,0.06420198,-0.020478692,0.07898604,-0.08972306,0.008352461,-0.019748664,0.05718885,-0.020603646,0.08661098,-0.08923395,0.008649455,-0.021475641,0.047661748,-0.02238834,0.09016291,-0.08904011,0.012939569
3,-0.042749036,0.017472543,-0.044501044,0.0679179,-0.086249106,0.0651815,-0.042862635,0.029536491,-0.03938589,0.065701686,-0.100163,0.045577448,-0.03629271,0.066550165,-0.03032511,0.07488624,-0.11041984,0.02393542,-0.026712704,0.08245252,-0.023737652,0.09174445,-0.11409569,0.010226096,-0.021386819,0.07166471,-0.022078736,0.1048789,-0.11469128,0.007426536,-0.02230805,0.05547938,-0.023679845,0.11154217,-0.113557786,0.0130374115
4,-0.04018878,0.0028825284,-0.04310272,0.072858155,-0.0905527,0.071939826,-0.041529,0.013962573,-0.037428573,0.06780279,-0.106247805,0.048545595,-0.03379589,0.06270469,-0.025230631,0.07728652,-0.12093512,0.021225516,-0.020561032,0.08640287,-0.014863891,0.09806615,-0.1271988,0.001838538,-0.011577474,0.07467458,-0.0103920465,0.11468798,-0.12824962,-0.005652065,-0.010070682,0.056374878,-0.010338138,0.123095736,-0.12616728,-0.001960936
5,-0.042448882,-0.01324061,-0.046167932,0.07562737,-0.09525234,0.079442106,-0.044346713,0.005086509,-0.03976811,0.069978714,-0.11119462,0.05291174,-0.035798915,0.061058152,-0.026723813,0.081773885,-0.1274448,0.026211899,-0.022027288,0.08369653,-0.01617771,0.10520133,-0.13352093,0.008920545,-0.013332392,0.07132317,-0.011636487,0.123164825,-0.13429742,-0.0001317549,-0.011975004,0.05292566,-0.011747915,0.13189325,-0.13117597,0.0037908943
6,-0.039681595,-0.029301507,-0.04355688,0.07477343,-0.095859595,0.07849744,-0.04141635,-0.005520043,-0.036421433,0.06911237,-0.113097824,0.04959199,-0.03201046,0.056576207,-0.022422139,0.08350765,-0.1311814,0.024135428,-0.01759761,0.07677585,-0.0111983735,0.10906356,-0.13722214,0.009225794,-0.008571693,0.06463155,-0.005618159,0.12766501,-0.13772951,-0.0025530984,-0.0061769653,0.047396205,-0.004952714,0.13633542,-0.13345774,-0.00048438954
7,-0.042091105,-0.04226239,-0.0457266,0.07239462,-0.09231036,0.083084546,-0.043296017,-0.0153922895,-0.03820767,0.06542785,-0.11001547,0.05306714,-0.033080965,0.056416117,-0.023245947,0.08107584,-0.13126524,0.027613541,-0.017609753,0.07241586,-0.011405207,0.10800075,-0.13833365,0.015402424,-0.008060482,0.060116485,-0.0043272204,0.12681185,-0.13890012,0.0017519094,-0.0040296065,0.0447649,-0.0019829746,0.13525741,-0.13357057,0.0018495162
8,-0.041510995,-0.054777436,-0.044428844,0.06819084,-0.08761379,0.08228213,-0.04161469,-0.024978438,-0.036495302,0.0606524,-0.10669979,0.0516833,-0.030605419,0.05394943,-0.020530218,0.07775936,-0.13079515,0.02689776,-0.014069387,0.06582028,-0.0076871347,0.105759844,-0.13870145,0.01697739,-0.0035619186,0.054292362,0.0013080974,0.124580055,-0.13910459,0.0010829663,0.002556412,0.0413355,0.005544084,0.13274196,-0.1328039,-0.0015284222
9,-0.042824876,-0.06735771,-0.045059,0.062825605,-0.083574794,0.080987275,-0.041623253,-0.031101335,-0.036762178,0.055490162,-0.104474135,0.05041857,-0.029946778,0.05341509,-0.02006625,0.07450673,-0.13074052,0.027362943,-0.01275239,0.059554998,-0.0066870623,0.10343363,-0.13876943,0.020932283,-0.0018219907,0.048280425,0.0037620394,0.12207512,-0.13834949,0.0047979197,0.005837365,0.037718076,0.009487729,0.1298189,-0.13120443,0.0014249044
10,-0.04477568,-0.0763635,-0.045871265,0.05810691,-0.07837687,0.08032549,-0.042010617,-0.03775579,-0.037474025,0.05012045,-0.100725204,0.050311588,-0.029800156,0.05290648,-0.019851867,0.07011887,-0.12961425,0.02765147,-0.011521427,0.055105723,-0.0054779346,0.0996443,-0.13840386,0.022832412,0.0004324835,0.044990003,0.006743928,0.11811365,-0.13788797,0.004955784,0.010030321,0.037020385,0.014261008,0.12569359,-0.13020891,-0.0004870742
