Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.033661023,0.0060952893,0.03366413,-0.0077899336,-0.009242127,-0.032455724,0.030559534,0.016875587,0.030853575,0.008141689,-0.0061155683,-0.026959047,0.027898239,0.015508926,0.028191557,0.013320435,-0.007658189,-0.026154608,0.024995146,0.013934815,0.025131622,0.015378969,-0.012053274,-0.027148316,0.021015687,0.015297512,0.02084273,0.016331999,-0.020936001,-0.029338943,0.014003528,0.023596007,0.01335822,0.016696975,-0.038406882,-0.03327307
2,0.05471881,0.030311285,0.054252777,0.005160451,-0.010885002,-0.057908505,0.04760158,0.044753097,0.047797102,0.035415217,-0.0058320276,-0.04087028,0.042062465,0.03975933,0.042503655,0.04397722,-0.011047172,-0.037721492,0.036495402,0.033711255,0.0367791,0.047276363,-0.022652809,-0.039386924,0.029185738,0.03245791,0.028896028,0.048912156,-0.044172626,-0.044897825,0.016565472,0.04366133,0.015245483,0.049755123,-0.08030565,-0.05760965
3,0.063759066,0.060562134,0.062080406,0.006591449,-0.0023543243,-0.06753297,0.05576428,0.07570696,0.055094693,0.05540143,0.003007994,-0.041977953,0.048784014,0.06714973,0.048880257,0.06811624,-0.004858693,-0.037006427,0.041726585,0.056691825,0.04182969,0.07295385,-0.020632336,-0.038250916,0.03231294,0.05186141,0.03163778,0.07549084,-0.048799824,-0.044806812,0.015619356,0.062090635,0.013289507,0.07705864,-0.09649804,-0.06384867
4,0.061581094,0.076136254,0.05989923,-0.00608474,-0.015017971,-0.0808052,0.057054415,0.09266304,0.055620734,0.05495142,-0.009742048,-0.052370705,0.052853644,0.08276683,0.052100882,0.07081918,-0.018290108,-0.046051834,0.047533724,0.07123427,0.04694254,0.07684652,-0.035274524,-0.046509583,0.03897638,0.06683407,0.03767767,0.0801229,-0.06571141,-0.053206913,0.02215158,0.07993033,0.01916484,0.08234445,-0.11825203,-0.07495478
5,0.04340567,0.08340787,0.04515672,-0.009809613,-0.010661575,-0.074922554,0.04457651,0.094987296,0.04636753,0.05965,-0.0073376293,-0.050183583,0.044819877,0.07908467,0.04614932,0.07783921,-0.016499922,-0.046209365,0.041390974,0.06416227,0.041728053,0.08451966,-0.033918563,-0.048837345,0.032214917,0.059943397,0.030660663,0.08795621,-0.06548387,-0.058288924,0.012399972,0.07722377,0.0079188,0.09026885,-0.12165027,-0.08367433
6,0.031170083,0.08066181,0.034725856,-0.025986541,-0.016597386,-0.07097184,0.040685415,0.0909044,0.043374293,0.050321877,-0.015077721,-0.051861946,0.047314063,0.07261106,0.049121566,0.07087635,-0.024288107,-0.05097942,0.047735326,0.058068648,0.048315693,0.078272805,-0.04127987,-0.05655576,0.04020089,0.057369225,0.038329884,0.0819405,-0.072656974,-0.06931797,0.019944122,0.08117111,0.014371145,0.084365696,-0.1311538,-0.09774335
7,0.011382077,0.07807024,0.016479507,-0.037152894,-0.012615144,-0.058115873,0.02859322,0.086336635,0.032478526,0.04666046,-0.013006739,-0.043694932,0.04089157,0.063821524,0.043557663,0.0698104,-0.02221573,-0.045281854,0.04460302,0.047548957,0.0457383,0.07800318,-0.03864606,-0.053301018,0.038218245,0.04859028,0.03636796,0.081863366,-0.06970487,-0.06930687,0.017219167,0.077547304,0.010804721,0.08443031,-0.13018192,-0.10111063
8,0.00748679,0.07362665,0.012277587,-0.051468458,-0.014882532,-0.05597035,0.02899246,0.082454845,0.032211684,0.040243227,-0.017273314,-0.044562053,0.04428007,0.058038294,0.04673358,0.06591092,-0.026860604,-0.04751172,0.0499795,0.041986026,0.051178675,0.074778095,-0.04324048,-0.05682055,0.044373706,0.046062082,0.04238702,0.07869372,-0.074477576,-0.07464708,0.022724867,0.08041133,0.015658166,0.08127357,-0.13680373,-0.108137935
9,0.0017108084,0.06880777,0.006132992,-0.058183763,-0.013483076,-0.055982977,0.02507773,0.07902992,0.02782895,0.04073575,-0.017798875,-0.04529274,0.041660313,0.05219994,0.043981433,0.06838334,-0.027906574,-0.047887277,0.048185103,0.035194114,0.049422923,0.07760647,-0.044619307,-0.05688915,0.042647086,0.04119675,0.040652458,0.081338115,-0.07671092,-0.075235255,0.020203978,0.08000814,0.01281927,0.083878495,-0.14111735,-0.109377734
10,0.00077178265,0.06473322,0.0048387293,-0.06490867,-0.014657587,-0.05995656,0.025076019,0.07707627,0.027250018,0.04072536,-0.021105442,-0.04986568,0.042325605,0.048313905,0.044441856,0.070042774,-0.03206993,-0.05199199,0.049393125,0.030646011,0.050638177,0.07944326,-0.04949578,-0.0604563,0.04387836,0.038754784,0.041873462,0.08285322,-0.08275674,-0.07893077,0.020746391,0.0819246,0.013173089,0.08517986,-0.14904545,-0.11307519
11,-0.00080116896,0.062113713,0.0029762653,-0.071740374,-0.014937415,-0.06502949,0.024030207,0.07691995,0.025596878,0.041254308,-0.023509359,-0.05541076,0.041629925,0.04595988,0.043461066,0.07247149,-0.03542768,-0.05689719,0.049054973,0.027020395,0.050230507,0.08220383,-0.053719062,-0.064558804,0.043499134,0.036597945,0.04145355,0.08538302,-0.08839793,-0.08293031,0.019706896,0.08348591,0.011994984,0.08749854,-0.15668781,-0.11690955
12,-0.003096391,0.061665393,0.0010341918,-0.07815595,-0.012255561,-0.06588941,0.023111211,0.07803007,0.024602119,0.041771863,-0.02341955,-0.05813767,0.0412838,0.04379915,0.043050863,0.07491988,-0.036296804,-0.05974929,0.048850395,0.022596152,0.050027978,0.085038915,-0.055227958,-0.06729828,0.042871214,0.033025835,0.040830154,0.08791525,-0.09098799,-0.0865034,0.01808132,0.083190314,0.010207706,0.08960735,-0.16093563,-0.12106624
13,-0.0054880697,0.06338944,-0.0006473136,-0.08467821,-0.009403829,-0.06421893,0.022982974,0.080605425,0.02461579,0.04130469,-0.023504367,-0.059568383,0.042325303,0.042465214,0.044145413,0.07603925,-0.037463907,-0.061998878,0.050428458,0.018676188,0.051696055,0.086415716,-0.056941677,-0.07004141,0.04430268,0.029903065,0.04229328,0.08892664,-0.09342873,-0.09072243,0.018690959,0.083129905,0.01060805,0.090075746,-0.16468246,-0.12649831
14,-0.008984016,0.06628918,-0.0035039175,-0.09349948,-0.0060656196,-0.061442733,0.02231867,0.08428812,0.02394318,0.03946542,-0.02299662,-0.060556833,0.043206036,0.042039406,0.044967957,0.07620431,-0.03803543,-0.06422219,0.052131053,0.015201455,0.05343806,0.087158315,-0.058003012,-0.07298835,0.046035305,0.026637848,0.043970115,0.089582995,-0.09511082,-0.095425755,0.019527668,0.082537934,0.011093962,0.09025285,-0.16756764,-0.13274637
15,-0.011351002,0.07035119,-0.005227343,-0.101359986,-0.003835937,-0.05980708,0.022379491,0.089396976,0.023896243,0.03751746,-0.023585651,-0.062317517,0.044594552,0.043335337,0.04626274,0.07578249,-0.03979655,-0.06707756,0.05440184,0.013719344,0.055781588,0.087052315,-0.060326748,-0.076497294,0.04866734,0.025560137,0.046594962,0.08926468,-0.09797772,-0.10044314,0.02183036,0.08374501,0.013159906,0.089424916,-0.17146333,-0.13910496
16,-0.016345832,0.07390419,-0.009068533,-0.106538825,0.00048650033,-0.057006113,0.020167354,0.09453229,0.022356343,0.03793531,-0.022061802,-0.06293346,0.04397945,0.04394643,0.04584493,0.077578284,-0.039346773,-0.06851281,0.054303136,0.010463956,0.05571872,0.089065894,-0.060358923,-0.07837022,0.048238564,0.02202443,0.046174362,0.09100704,-0.09856669,-0.10398181,0.020493837,0.08230272,0.011602389,0.090665124,-0.17304373,-0.14414267
17,-0.019053938,0.07608587,-0.010771531,-0.11078871,0.0028953545,-0.05788644,0.01935072,0.09956979,0.022268003,0.03888874,-0.022128865,-0.066255935,0.044457823,0.04512286,0.04662517,0.07958555,-0.04067145,-0.07232206,0.055226337,0.008164261,0.056735158,0.091043174,-0.06255842,-0.082528144,0.04885234,0.019942291,0.046839926,0.09256451,-0.101794705,-0.109596714,0.02031674,0.082739055,0.011287324,0.091670826,-0.17754546,-0.15066853
