Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.074015886,0.06025116,0.07408121,0.07457511,0.043265957,0.0075896387,0.07422937,0.06448759,0.07422343,0.07412725,0.022358019,-0.0136032095,0.074296355,0.068279356,0.07422234,0.07321299,0.005378616,-0.038374543,0.074253164,0.07087127,0.07412437,0.07236927,-0.017360661,-0.041974816,0.074116215,0.07254645,0.07394723,0.07223694,-0.025668472,-0.043621518,0.07392923,0.07373035,0.07374516,0.07332519,-0.06531996,0.0014378914
2,0.13882357,0.055716705,0.13908096,0.12162455,0.10652978,0.020906273,0.13717729,0.080180876,0.13608618,0.12001276,0.053190842,-0.009106664,0.13452832,0.097383745,0.13254397,0.12306532,0.0067779133,-0.04054495,0.13166812,0.10083327,0.12844223,0.13094768,-0.032286067,-0.04281844,0.12656723,0.102211975,0.12128236,0.1374899,-0.048629835,-0.032747712,0.117849514,0.109032914,0.112050585,0.14212984,-0.12055861,0.002803548
3,0.14437762,0.053573772,0.14338924,0.13431787,0.17649604,0.031150155,0.13640897,0.09682422,0.13390158,0.13648567,0.118698634,0.019829538,0.12864931,0.10823801,0.12775524,0.15652892,0.065414615,0.008730667,0.12473692,0.091680326,0.121056125,0.18024832,0.018434923,0.014272189,0.1149727,0.087973446,0.10324696,0.1923236,-0.006928025,0.0285416,0.09510573,0.10776711,0.07988898,0.1959359,-0.13081901,0.0023793322
4,0.15789722,0.04032772,0.15639275,0.14579685,0.17188543,-0.03359633,0.15076524,0.09236688,0.14697877,0.14447683,0.111435555,-0.029699352,0.14239633,0.108661674,0.13991666,0.16401607,0.056217887,-0.01389524,0.13772576,0.0942536,0.13180266,0.19050546,0.009470122,0.01202059,0.12513687,0.09255776,0.10925361,0.20414948,-0.01795577,0.03926776,0.09947593,0.11693101,0.08045223,0.21004312,-0.16905674,0.0022824442
5,0.14331941,0.04607389,0.14029166,0.14908443,0.16128705,-0.0966098,0.13684921,0.105116084,0.1334449,0.14667483,0.09788107,-0.074334525,0.13172428,0.10804115,0.13461478,0.16955635,0.04047824,-0.0246864,0.13489804,0.07565957,0.13350528,0.1964645,-0.007141668,0.01810258,0.12790419,0.07354411,0.11085704,0.20590262,-0.034531947,0.05333105,0.101399146,0.11226456,0.077563144,0.20621556,-0.19676091,0.002683372
6,0.13840106,0.044633377,0.13440369,0.15326203,0.15408118,-0.15210272,0.13197273,0.113148846,0.12788557,0.14746118,0.08692235,-0.1192676,0.12794483,0.11251932,0.13352095,0.1720417,0.031879414,-0.036356587,0.1351477,0.0692329,0.13695797,0.20032226,-0.012061132,0.022476077,0.1314483,0.06528251,0.11404546,0.20776966,-0.036516394,0.064772755,0.10437585,0.11240135,0.0772948,0.20374773,-0.21668972,0.0030534456
7,0.14663528,0.034551777,0.14263795,0.15688513,0.16355969,-0.18095422,0.13798533,0.11377834,0.13238046,0.14790022,0.091883846,-0.14772438,0.13141058,0.11901817,0.135892,0.1756974,0.041847065,-0.041114174,0.13649364,0.07460973,0.13842443,0.2080011,0.0030745547,0.028980618,0.13110851,0.06753079,0.113342844,0.21715558,-0.019598436,0.07268816,0.10246643,0.11469882,0.07359025,0.2115966,-0.2249256,0.0030649472
8,0.1506794,0.029659927,0.1466612,0.1587018,0.17706369,-0.19407828,0.13957454,0.11753575,0.1336125,0.1497788,0.098752916,-0.16315374,0.13210177,0.12266766,0.13791873,0.18101726,0.05246854,-0.037044886,0.13752228,0.074754685,0.14069337,0.21615396,0.018258736,0.038801074,0.13173701,0.0651794,0.114094436,0.22621329,-0.0014539512,0.08107978,0.102128044,0.11559068,0.07071619,0.21720602,-0.23175061,0.0028397704
9,0.15138145,0.026899865,0.147198,0.1607153,0.1817642,-0.20698284,0.13959298,0.12141324,0.1339332,0.15370548,0.09522479,-0.17796467,0.13349213,0.121646106,0.14291354,0.18540968,0.050559223,-0.03767992,0.1427406,0.069104694,0.14854501,0.2202844,0.019269219,0.03916345,0.13936958,0.059814867,0.12214145,0.2289892,0.0038633477,0.08265919,0.109582074,0.1182636,0.0753278,0.2150694,-0.24474145,0.002458558
10,0.1483514,0.025349775,0.1440556,0.16232984,0.18938023,-0.20942873,0.13598332,0.12426482,0.13162243,0.15810096,0.093521714,-0.18543342,0.13201278,0.11558365,0.14589483,0.19060498,0.050571542,-0.034065,0.14581229,0.05884871,0.15383115,0.22515145,0.021983875,0.042121354,0.14464101,0.051314853,0.12720384,0.2326587,0.011050687,0.087246105,0.114448376,0.11912314,0.075981714,0.21404073,-0.2575759,0.0022887837
