Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.039208755,0.040790465,-0.039208755,-0.011514342,-0.010077253,0.02817641,-0.039208755,0.040790465,-0.039208755,0.0010997099,0.022267379,0.02817641,-0.039208755,0.040790465,-0.039208755,0.0010997113,0.022360831,0.02817641,-0.039208755,0.034974888,-0.039208755,-0.020779122,0.022360831,0.02817641,-0.039208755,0.034974888,-0.039208755,-0.020779122,0.034974888,0.040790465,-0.039208755,0.034974888,-0.039208755,-0.020779122,0.034974888,0.040790465
2,-0.04374924,0.080790125,-0.04374924,0.003875735,-0.034689154,0.021060558,-0.04374924,0.080790125,-0.04374924,0.028146118,0.0055522947,0.021060558,-0.04374924,0.080790125,-0.065133795,0.028146122,0.005805121,0.021060558,-0.05813977,0.040638506,-0.05813977,-0.004223411,0.005805121,0.021060558,-0.05813977,0.03007551,-0.065133795,-0.004223411,0.03007551,0.045330945,-0.061651394,0.040954426,-0.06864542,-0.004223411,0.03007551,0.04533095
3,-0.04107335,0.120789796,-0.04107335,0.00067660806,-0.035029504,0.004895035,-0.04107335,0.120789796,-0.04107335,0.030485205,0.008153581,-0.000937636,-0.04107335,0.120789796,-0.07773632,0.03048521,0.008450427,0.0021078754,-0.062301185,0.059206188,-0.062301185,-0.0068687173,0.008450427,0.0100592915,-0.07272231,0.04104619,-0.08815745,-0.0068687173,0.038259033,0.039867897,-0.08561295,0.049383394,-0.10104809,-0.0068687173,0.038259033,0.04265506
4,-0.05644367,0.16078947,-0.054853085,0.0016099954,-0.037995584,0.009142558,-0.054853085,0.16078947,-0.054853085,0.0345027,0.006883395,-0.008295938,-0.054853085,0.16078947,-0.10002426,0.034502704,0.007208628,-0.0063331425,-0.07988846,0.08727087,-0.07988846,-0.005626918,0.0072086276,0.012794296,-0.096112885,0.064880274,-0.118703574,-0.0056269183,0.040101342,0.045687012,-0.116681375,0.07180206,-0.13681717,-0.0056269183,0.040101342,0.058889676
5,-0.058400284,0.1798215,-0.05244703,-0.0026879464,-0.034793843,0.0010439672,-0.05244703,0.1798215,-0.05244703,0.032046553,0.010985325,-0.012648401,-0.05244703,0.1798215,-0.10269921,0.032046556,0.011322389,-0.0047393083,-0.07975623,0.099175446,-0.07975623,-0.009740679,0.009045601,0.024760125,-0.09944631,0.07425838,-0.13209003,-0.0074638915,0.043780107,0.059093904,-0.13037974,0.08033489,-0.15332273,-0.0074638915,0.03941865,0.06372946
6,-0.050510373,0.18272729,-0.04206776,-0.0028548494,-0.035359185,-0.012862939,-0.042067755,0.18055396,-0.04206776,0.033021003,0.011028173,-0.02343919,-0.04206776,0.18055396,-0.09546861,0.033021007,0.011375156,0.0013560851,-0.07078604,0.0976644,-0.07078604,-0.0097934455,0.0022545774,0.037282992,-0.09262376,0.07118169,-0.13149731,-0.00067286927,0.038130436,0.07219316,-0.1299803,0.07673439,-0.15466288,-0.00067286927,0.027609568,0.05368991
7,-0.056726575,0.19766362,-0.04648302,-0.0054039513,-0.033235393,-0.010680978,-0.046483018,0.18312782,-0.04648302,0.031194478,0.0135004725,-0.02242985,-0.04648302,0.17176747,-0.101877265,0.031194478,0.013851999,0.012885506,-0.07609337,0.10980446,-0.07609337,-0.012270289,0.00039870036,0.05288157,-0.09929076,0.08233056,-0.14210832,0.0011830071,0.044334635,0.088202275,-0.14071366,0.08544121,-0.16649757,0.0011830071,0.027803885,0.055004492
8,-0.053073537,0.20877874,-0.041805312,-0.009732658,-0.029137183,-0.016791027,-0.041805305,0.19041628,-0.041805312,0.027329199,0.017781876,-0.029417282,-0.041805312,0.17571278,-0.09847802,0.027329199,0.018134363,0.012770493,-0.071987785,0.119126186,-0.071987785,-0.016552653,-0.0052703377,0.055376325,-0.0960572,0.087073274,-0.14140429,0.0068520443,0.043834962,0.09090123,-0.1400881,0.083515905,-0.16657835,0.0068520443,0.018347953,0.048338145
9,-0.058228023,0.22859468,-0.046188198,-0.009894026,-0.029168127,-0.011288172,-0.04618819,0.19776621,-0.046188198,0.027467469,0.01791062,-0.024336541,-0.046188198,0.17383271,-0.103687525,0.027467469,0.018265767,0.020103484,-0.07674059,0.13679093,-0.07674059,-0.016684057,-0.011573222,0.06050391,-0.10137383,0.097547136,-0.14835642,0.013154928,0.040874436,0.100094594,-0.14709099,0.08578561,-0.17403793,0.013154928,0.009596573,0.05143524
10,-0.052083667,0.23707318,-0.03966485,-0.018112075,-0.020977914,-0.0121118575,-0.039664842,0.18853949,-0.03966485,0.019444156,0.02611203,-0.02549414,-0.03966485,0.1586073,-0.0977014,0.019444156,0.026464341,0.015497436,-0.07045767,0.14132693,-0.07045767,-0.024882631,-0.0075563486,0.051323127,-0.09545732,0.09498236,-0.14350286,0.009138054,0.04706354,0.096646346,-0.1422704,0.074747466,-0.16951415,0.009138054,0.0065106517,0.04407624
11,-0.05250984,0.2446212,-0.032832485,-0.011032434,-0.0282123,-0.015227672,-0.038649935,0.18488342,-0.039791144,0.026650777,0.0190151,-0.028860059,-0.032832485,0.14172068,-0.09121934,0.026650777,0.019372001,0.009915278,-0.06378208,0.13962463,-0.06378208,-0.017790291,-0.017375426,0.0497166,-0.09597932,0.090731256,-0.14471796,0.01895713,0.0386609,0.09180713,-0.13654836,0.07192982,-0.16398564,0.01895713,-0.0055795265,0.036698986
12,-0.06292974,0.24719377,-0.038403437,-0.0107729705,-0.028528467,-0.009240889,-0.046059303,0.1732096,-0.04860474,0.026993219,0.018746432,-0.020912582,-0.038403437,0.11682449,-0.09701921,0.026993219,0.01910424,0.01630319,-0.06945548,0.14165376,-0.06945548,-0.01752253,-0.019425012,0.05870244,-0.10635607,0.09597617,-0.15554763,0.021006716,0.0375369,0.09872491,-0.14284486,0.08012424,-0.17040859,0.021006716,-0.006008234,0.041913863
13,-0.062217984,0.23703688,-0.034595054,-0.018602896,-0.01681394,-0.017681252,-0.03847931,0.15375398,-0.043654095,0.019217592,0.030392129,-0.02324295,-0.034595057,0.08871652,-0.09336063,0.019217592,0.030745577,0.013029403,-0.06571413,0.1304974,-0.06571413,-0.025347026,-0.012766496,0.057128668,-0.105692476,0.08705034,-0.15518044,0.0143482,0.044801097,0.095767595,-0.13951124,0.07803258,-0.16715775,0.0143482,-0.0037345598,0.037872475
14,-0.0661419,0.23964979,-0.036453314,-0.0113940155,-0.01846847,-0.018856797,-0.037890766,0.15025885,-0.044802397,0.026462033,0.028768236,-0.020377323,-0.03645332,0.070306644,-0.095317006,0.026462033,0.029122591,0.015237811,-0.0676163,0.12758784,-0.0676163,-0.01813459,-0.020742614,0.058445055,-0.10961049,0.08555683,-0.15929255,0.022324316,0.03722168,0.09127345,-0.14168046,0.081015244,-0.16938119,0.022324316,-0.01604648,0.03957813
