Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.04498946,0.040881433,0.04497304,-0.041678447,-0.027088834,-0.0034872056,0.044998683,0.041673616,0.044953696,-0.042644206,-0.021027945,0.00025847415,0.04495593,0.0427659,0.044904195,-0.04341039,-0.00020802207,0.0041391347,0.044933293,0.043687344,0.04488216,-0.0439896,0.014365315,0.007673712,0.044910565,0.044554137,0.044885505,-0.044508833,0.021755248,0.009652667,0.044908494,0.045284137,0.044883065,-0.04517888,0.043817982,0.0024855905
2,0.093701325,0.068172015,0.093881406,-0.07989412,-0.033902925,-0.01131827,0.09400053,0.07209259,0.093954094,-0.081121765,-0.0036756808,-0.004954671,0.09398505,0.07757681,0.093833834,-0.08145972,0.034763146,-0.0009361035,0.09387216,0.081328616,0.09368037,-0.08215727,0.056803275,-0.0010951664,0.09369693,0.084428884,0.09360255,-0.0830968,0.068000615,-0.0037992592,0.093600474,0.08714331,0.09345238,-0.084980614,0.09076874,0.0041676546
3,0.13027543,0.078126945,0.1307423,-0.105997235,-0.055095837,-0.017350787,0.13083532,0.083936356,0.13060157,-0.10844761,0.0065422,-0.010835202,0.13064454,0.09378949,0.13012512,-0.10878861,0.064358905,-0.007360286,0.13015899,0.10115809,0.12949502,-0.11008014,0.08365345,-0.018553978,0.12944919,0.10893885,0.12881267,-0.111990094,0.096101776,-0.030556913,0.1287602,0.1153561,0.12766927,-0.11654157,0.12453503,0.005912102
4,0.13020179,0.06665528,0.13017674,-0.117198914,-0.040731218,-0.0060407603,0.13092433,0.073857084,0.12983416,-0.1186808,0.029823069,-0.0019510428,0.13063824,0.088116854,0.12923215,-0.11751056,0.07540155,-0.004013135,0.12965585,0.10687992,0.12815212,-0.11484543,0.068924904,-0.03668452,0.12813771,0.12736624,0.12731194,-0.11251302,0.07356038,-0.060127012,0.12740934,0.13410154,0.12720406,-0.118237205,0.11007325,0.0077664573
5,0.11176496,0.054832935,0.11085073,-0.11781658,-0.02785786,0.008434968,0.111882046,0.0638719,0.11004415,-0.12018825,0.039847452,0.009893273,0.11118823,0.0800451,0.109375,-0.119283855,0.066228256,0.0047223764,0.10972876,0.109662436,0.108171016,-0.11382042,0.035564754,-0.05265445,0.107819416,0.13876891,0.1076475,-0.10872928,0.034394316,-0.09420314,0.10748556,0.1410812,0.108733125,-0.11338326,0.07747891,0.009354288
6,0.100626126,0.048209522,0.09970117,-0.12458482,-0.041403677,0.0062423875,0.10001984,0.055379797,0.09781047,-0.13090461,0.023742385,0.00182866,0.09796303,0.07211693,0.09586477,-0.13177304,0.04366232,-0.0019415066,0.09509426,0.109071195,0.09395876,-0.12297249,0.0075546782,-0.07121383,0.09294625,0.14426328,0.093436345,-0.114884846,0.010534243,-0.11682694,0.093023755,0.14424452,0.09460841,-0.11903877,0.05914267,0.010389408
7,0.10404201,0.051300198,0.103494756,-0.13294761,-0.05015022,0.019065691,0.10346585,0.051440977,0.1012924,-0.14278735,0.014795614,0.0056738993,0.100780286,0.066633515,0.09839729,-0.1447661,0.03805517,-0.0018042048,0.09703913,0.10713457,0.09560453,-0.13196889,0.007480684,-0.07819726,0.094200164,0.15224063,0.09348143,-0.11846382,0.019329116,-0.11357791,0.09301668,0.15799269,0.0929821,-0.12523304,0.066654675,0.011920161
8,0.11313149,0.050811917,0.112994336,-0.14086908,-0.04621496,0.041610375,0.11343825,0.044200636,0.11127006,-0.15183805,0.020002099,0.019137,0.1109358,0.059031166,0.10809142,-0.15252915,0.04825785,0.0045456016,0.10692552,0.10386276,0.104421146,-0.13458316,0.021946773,-0.08065507,0.10270793,0.16108851,0.09892108,-0.117193714,0.03937015,-0.11045277,0.09826118,0.17511187,0.09484732,-0.13039775,0.08388549,0.013256995
9,0.1177877,0.05947647,0.11775533,-0.14094351,-0.04447389,0.062153723,0.11846444,0.050175346,0.11631399,-0.15342094,0.016487166,0.028131496,0.11578904,0.06502687,0.11271849,-0.15510331,0.044815402,0.0059370166,0.1112784,0.10973679,0.108337566,-0.13794862,0.023658386,-0.08903698,0.10611318,0.16714808,0.10076254,-0.121142216,0.049079962,-0.11916636,0.100013964,0.1869991,0.09354264,-0.13654725,0.09489366,0.013993788
10,0.113475285,0.066974565,0.11348752,-0.1324957,-0.039702732,0.07709392,0.11467774,0.05877007,0.112574086,-0.14635634,0.012949917,0.03174564,0.11191914,0.07509811,0.1087635,-0.14947918,0.0355199,0.002393898,0.106954455,0.11926317,0.10386229,-0.13641204,0.013306692,-0.10496288,0.10110985,0.1691659,0.094756894,-0.12504505,0.043810118,-0.14318551,0.09398142,0.1912926,0.084941454,-0.14055282,0.092527404,0.013906754
