Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa
1,-0.040274527,0.0015817076,-0.04027453,0.03019591,-0.07160442,0.027354741,-0.03851472,0.0015817076,-0.03851472,0.060579505,-0.07019536,0.027354741,-0.03727695,0.0015817076,-0.03727695,0.07840561,-0.06651315,0.027354741
2,-0.06353574,0.0015817076,-0.06353575,0.0118732415,-0.14048426,0.030491354,-0.058537185,0.0015817076,-0.05853718,0.101751566,-0.13681538,0.029994162,-0.054979954,0.0015817076,-0.054979954,0.14640746,-0.12698106,0.030270047
3,-0.078421615,0.0015817076,-0.07842162,0.004252,-0.18434808,0.02240382,-0.07208528,0.0015817076,-0.072085276,0.13000682,-0.18075457,0.022701535,-0.067267254,0.0015817076,-0.067267254,0.19128244,-0.16702875,0.023120614
4,-0.093776256,0.0015817076,-0.09377626,0.021026036,-0.1874419,0.016368952,-0.08898444,0.0015817076,-0.088984445,0.14716637,-0.18492094,0.021266846,-0.084927835,0.0015817076,-0.08492783,0.20586562,-0.17558442,0.021474347
5,-0.11150251,0.0015817076,-0.11150252,0.03880269,-0.16889384,0.0126239825,-0.10814117,0.0015817076,-0.108141184,0.14945154,-0.17036538,0.020466551,-0.10486706,0.0015817076,-0.104867056,0.1997856,-0.1693842,0.020254748
6,-0.14626291,0.0015817076,-0.14626293,0.051724527,-0.14994678,0.009365469,-0.14430729,0.0015817076,-0.1443073,0.14675212,-0.15469559,0.019672612,-0.14192724,0.0015817076,-0.14192723,0.18816046,-0.16096202,0.01883645
7,-0.17791541,0.0015817076,-0.17791542,0.05955103,-0.13194944,0.0012673698,-0.17695624,0.0015817076,-0.17695625,0.14184734,-0.13995208,0.014457748,-0.1753034,0.0015817076,-0.17530338,0.17566936,-0.15264632,0.012467051
8,-0.20304005,0.0015817076,-0.20304006,0.06436572,-0.11923761,-0.0037387093,-0.20272511,0.0015817076,-0.20272513,0.13883789,-0.12932245,0.011328457,-0.20161158,0.0015817076,-0.20161156,0.16686796,-0.14639182,0.008137318
9,-0.20807205,0.0015817076,-0.20807205,0.066865616,-0.114027046,-0.004788401,-0.20806712,0.0015817076,-0.20806713,0.13805479,-0.12483187,0.011005521,-0.20723581,0.0015817076,-0.2072358,0.16364184,-0.14357735,0.0071823983
10,-0.20372073,0.0015817076,-0.20372073,0.070228495,-0.11433946,-0.0034634427,-0.20393293,0.0015817076,-0.20393294,0.14186132,-0.12408083,0.012385953,-0.20337586,0.0015817076,-0.20337585,0.16531794,-0.14217837,0.007833749
11,-0.1970916,0.0015817076,-0.1970916,0.07306447,-0.11804415,-0.0020249607,-0.19737698,0.0015817076,-0.197377,0.14673765,-0.12621596,0.013597781,-0.19692811,0.0015817076,-0.1969281,0.16942862,-0.14230947,0.008593962
12,-0.19091979,0.0015817076,-0.19091979,0.074190296,-0.118885815,-0.002868041,-0.19126654,0.0015817076,-0.19126655,0.14830312,-0.12659511,0.013096696,-0.19090042,0.0015817076,-0.1909004,0.17084172,-0.14213456,0.007355426
13,-0.19006789,0.0015817076,-0.19006789,0.074514255,-0.12128125,-0.0006145353,-0.19035098,0.0015817076,-0.190351,0.14936443,-0.1286941,0.015649386,-0.18986994,0.0015817076,-0.18986993,0.17295775,-0.14310013,0.009386361
14,-0.18893495,0.0015817076,-0.18893495,0.074274614,-0.115534075,0.00052750536,-0.18940687,0.0015817076,-0.18940689,0.14650574,-0.124154665,0.017367024,-0.1891555,0.0015817076,-0.18915549,0.16892622,-0.14118187,0.010128798
15,-0.18059573,0.0015817076,-0.18059573,0.07721517,-0.10685554,-0.0004532074,-0.18156415,0.0015817076,-0.18156417,0.14633912,-0.11612075,0.016460817,-0.18196546,0.0015817076,-0.18196544,0.16439983,-0.13698356,0.009050086
16,-0.17355718,0.0015817076,-0.17355718,0.07891983,-0.112522975,-0.00088995113,-0.17443363,0.0015817076,-0.17443365,0.15117015,-0.12025764,0.01630213,-0.17475444,0.0015817076,-0.17475443,0.17035055,-0.1388167,0.008989844
