Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
1,-0.060647704,0.0015817076,-0.0606477,0.029364368,-0.061189108,0.060073443,-0.05982144,0.0015817076,-0.059821438,0.052143432,-0.061272655,0.060073443
2,-0.064946376,0.0015817076,-0.064946376,0.006357416,-0.103048995,0.027337264,-0.061818797,0.0015817076,-0.061818793,0.06869252,-0.1004034,0.027337264
3,-0.11550214,0.0015817076,-0.11550215,-0.021236947,-0.13562013,0.03693283,-0.11040363,0.0015817076,-0.11040363,0.066696875,-0.13026331,0.037167758
4,-0.14908653,0.0015817076,-0.14908653,-0.04091901,-0.1453371,0.027240243,-0.14277096,0.0015817076,-0.14277096,0.051508795,-0.14482434,0.028680691
5,-0.18911932,0.0015817076,-0.18911932,-0.05985941,-0.1534058,0.026903613,-0.18196674,0.0015817076,-0.18196672,0.03364554,-0.15791169,0.028827602
6,-0.21966606,0.0015817076,-0.21966606,-0.06584195,-0.14493074,0.019574203,-0.2121871,0.0015817076,-0.21218708,0.015208001,-0.15827192,0.021706074
7,-0.26006362,0.0015817076,-0.2600636,-0.075201266,-0.15013848,0.013946646,-0.2521353,0.0015817076,-0.2521353,0.006452463,-0.16660415,0.015897905
8,-0.29862347,0.0015817076,-0.29862344,-0.082244985,-0.16600198,0.004878316,-0.29061988,0.0015817076,-0.29061988,0.010968148,-0.17892069,0.0126879625
9,-0.33158323,0.0015817076,-0.3315832,-0.08442348,-0.18424237,-0.002152129,-0.3239352,0.0015817076,-0.3239352,0.022754971,-0.19123517,0.011825914
10,-0.35297114,0.0015817076,-0.3529711,-0.08450532,-0.20036645,-0.00753149,-0.3458046,0.0015817076,-0.3458046,0.034303717,-0.20349297,0.011826979
11,-0.36213353,0.0015817076,-0.3621335,-0.08602679,-0.207965,-0.010814158,-0.35503945,0.0015817076,-0.35503945,0.03746781,-0.21300478,0.011271283
12,-0.36926284,0.0015817076,-0.3692628,-0.085123286,-0.21298493,-0.014261667,-0.36240757,0.0015817076,-0.36240757,0.04006159,-0.22325587,0.014314737
13,-0.36958498,0.0015817076,-0.36958495,-0.087549955,-0.21033503,-0.01850986,-0.36238757,0.0015817076,-0.36238757,0.033435434,-0.23022108,0.015160351
14,-0.36848167,0.0015817076,-0.36848164,-0.09047354,-0.20470302,-0.022486273,-0.36080235,0.0015817076,-0.36080235,0.02351663,-0.236569,0.016221244
15,-0.3710581,0.0015817076,-0.37105808,-0.09298092,-0.19893864,-0.021191133,-0.3629241,0.0015817076,-0.3629241,0.01339313,-0.24341111,0.020446198
16,-0.36983383,0.0015817076,-0.3698338,-0.094233274,-0.1944812,-0.022778166,-0.36143202,0.0015817076,-0.36143202,0.005390106,-0.25003988,0.022462811
17,-0.3719487,0.0015817076,-0.37194866,-0.09264377,-0.19341794,-0.024216212,-0.36364684,0.0015817076,-0.36364684,0.0008923645,-0.2604471,0.023215437
18,-0.3746832,0.0015817076,-0.37468317,-0.09078956,-0.19246492,-0.025225002,-0.36650348,0.0015817076,-0.36650348,-0.003456885,-0.27068755,0.02352076
19,-0.37540594,0.0015817076,-0.3754059,-0.08755661,-0.19250993,-0.025956403,-0.36751914,0.0015817076,-0.36751914,-0.006287212,-0.28191158,0.023639591
20,-0.37693247,0.0015817076,-0.37693244,-0.0864792,-0.18980993,-0.026466213,-0.36905086,0.0015817076,-0.36905086,-0.012185169,-0.28976506,0.023680799
21,-0.37787873,0.0015817076,-0.3778787,-0.085486464,-0.18685403,-0.027590048,-0.36998883,0.0015817076,-0.36998883,-0.017897537,-0.29645216,0.021984821
22,-0.37923592,0.0015817076,-0.3792359,-0.08228202,-0.18594137,-0.029032921,-0.37159118,0.0015817076,-0.37159118,-0.020476514,-0.30493188,0.02103474
23,-0.3831023,0.0015817076,-0.38310227,-0.078543894,-0.18541265,-0.028300008,-0.3757415,0.0015817076,-0.3757415,-0.02231337,-0.31373835,0.021886293
24,-0.3840731,0.0015817076,-0.38407308,-0.07595177,-0.18338038,-0.029231071,-0.37687492,0.0015817076,-0.37687492,-0.0255327,-0.32019135,0.022603912
25,-0.38476244,0.0015817076,-0.3847624,-0.07364845,-0.18090127,-0.031127278,-0.37769228,0.0015817076,-0.37769228,-0.0292846,-0.32606477,0.023533931
26,-0.38509747,0.0015817076,-0.38509744,-0.0724192,-0.17731415,-0.032011196,-0.37803817,0.0015817076,-0.37803817,-0.03455598,-0.33036843,0.02394013
27,-0.38487494,0.0015817076,-0.3848749,-0.072151706,-0.17374207,-0.031470813,-0.37774974,0.0015817076,-0.37774974,-0.039899997,-0.33286515,0.025148287
28,-0.3832707,0.0015817076,-0.38327068,-0.071679436,-0.16984649,-0.03223331,-0.37610003,0.0015817076,-0.37610003,-0.04446656,-0.333673,0.024818923
29,-0.37953216,0.0015817076,-0.37953213,-0.071793236,-0.16590998,-0.032903567,-0.37228584,0.0015817076,-0.37228584,-0.048263572,-0.33217242,0.025006397
30,-0.37915173,0.0015817076,-0.3791517,-0.07074757,-0.16395745,-0.033388253,-0.37194097,0.0015817076,-0.37194097,-0.05039904,-0.33275068,0.024729213
31,-0.38089383,0.0015817076,-0.3808938,-0.07049248,-0.16298094,-0.03306342,-0.3736644,0.0015817076,-0.3736644,-0.051960878,-0.33274564,0.025092483
32,-0.38374484,0.0015817076,-0.3837448,-0.0687211,-0.16301933,-0.032826945,-0.37662452,0.0015817076,-0.37662452,-0.052383773,-0.33457342,0.02560187
33,-0.38565126,0.0015817076,-0.38565123,-0.06643961,-0.16333905,-0.032191213,-0.37869132,0.0015817076,-0.37869132,-0.052078143,-0.33650547,0.026682604
34,-0.38448182,0.0015817076,-0.3844818,-0.06432891,-0.1626564,-0.03347622,-0.3776733,0.0015817076,-0.3776733,-0.052179735,-0.3372048,0.0257641
35,-0.38376942,0.0015817076,-0.3837694,-0.06297538,-0.16193587,-0.033497248,-0.37705162,0.0015817076,-0.37705162,-0.052749768,-0.3374336,0.025326395
36,-0.3841891,0.0015817076,-0.38418907,-0.06163691,-0.1614208,-0.03247067,-0.37755483,0.0015817076,-0.37755483,-0.05359299,-0.33839536,0.025778398
37,-0.38352925,0.0015817076,-0.38352922,-0.06069409,-0.16052009,-0.031930286,-0.3769511,0.0015817076,-0.3769511,-0.05469925,-0.33865887,0.025908131
38,-0.38254583,0.0015817076,-0.3825458,-0.059628874,-0.15982597,-0.031164968,-0.37603965,0.0015817076,-0.37603965,-0.055343017,-0.3387895,0.02567547
39,-0.38071626,0.0015817076,-0.38071623,-0.05863792,-0.15904035,-0.030103328,-0.3742821,0.0015817076,-0.3742821,-0.055911306,-0.3387199,0.026031936
40,-0.3787923,0.0015817076,-0.37879226,-0.057822883,-0.1583787,-0.03113788,-0.37242076,0.0015817076,-0.37242076,-0.056151222,-0.33823717,0.024870716
41,-0.37862527,0.0015817076,-0.37862524,-0.05676652,-0.15824874,-0.030658795,-0.37232837,0.0015817076,-0.37232837,-0.056255523,-0.3388509,0.02522042
42,-0.37838867,0.0015817076,-0.37838864,-0.056434143,-0.15779328,-0.030544475,-0.37210885,0.0015817076,-0.37210885,-0.056757763,-0.33853096,0.025039682
43,-0.37990952,0.0015817076,-0.3799095,-0.055534482,-0.15799215,-0.029673154,-0.37368333,0.0015817076,-0.37368333,-0.0567775,-0.33939248,0.025644267
44,-0.38118657,0.0015817076,-0.38118654,-0.053976074,-0.15837485,-0.029340314,-0.37506604,0.0015817076,-0.37506604,-0.056258626,-0.34077775,0.025493555
45,-0.38173398,0.0015817076,-0.38173395,-0.052266486,-0.15881571,-0.03047812,-0.37573752,0.0015817076,-0.37573752,-0.055509467,-0.34216538,0.023683798
46,-0.38262162,0.0015817076,-0.3826216,-0.050804622,-0.1591543,-0.029749224,-0.3767267,0.0015817076,-0.3767267,-0.055134825,-0.34364915,0.024302876
47,-0.38206628,0.0015817076,-0.38206625,-0.04955725,-0.15893161,-0.030000819,-0.3762616,0.0015817076,-0.3762616,-0.055135258,-0.34452105,0.024542725
48,-0.381174,0.0015817076,-0.38117397,-0.04894198,-0.1580118,-0.030591823,-0.37540618,0.0015817076,-0.37540618,-0.056022756,-0.34466732,0.02475287
49,-0.38062948,0.0015817076,-0.38062945,-0.0487194,-0.1569292,-0.029940037,-0.37486482,0.0015817076,-0.37486482,-0.057379395,-0.34465617,0.025392398
50,-0.38009658,0.0015817076,-0.38009655,-0.04869114,-0.15584148,-0.029581774,-0.37432116,0.0015817076,-0.37432116,-0.05880505,-0.3444806,0.02561863
51,-0.37978312,0.0015817076,-0.3797831,-0.04864037,-0.15480506,-0.03050108,-0.37399724,0.0015817076,-0.37399724,-0.06007077,-0.34412995,0.024837056
52,-0.3801679,0.0015817076,-0.38016787,-0.048256826,-0.15442972,-0.030457359,-0.37439865,0.0015817076,-0.37439865,-0.060636554,-0.34426448,0.024642756
53,-0.38005108,0.0015817076,-0.38005105,-0.047855698,-0.15412635,-0.030087216,-0.37430555,0.0015817076,-0.37430555,-0.06094714,-0.3441682,0.024484886
54,-0.3796788,0.0015817076,-0.37967876,-0.047248423,-0.15393934,-0.030440865,-0.37397534,0.0015817076,-0.37397534,-0.0610513,-0.34429687,0.024203606
55,-0.3795913,0.0015817076,-0.37959126,-0.046835553,-0.15387318,-0.03048453,-0.37391582,0.0015817076,-0.37391582,-0.06114379,-0.34434003,0.02417242
