Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.008492276,0.045866303,-0.007191676,-0.016795157,0.04760477,0.012712336,-0.006653549,0.04612883,-0.0058057327,-0.012057092,0.047130834,0.013066654,-0.0053772125,0.046148475,-0.004777759,-0.009245731,0.044789493,0.012471794,-0.004162166,0.045917597,-0.003777776,-0.0076607578,0.037635263,0.009463616,-0.0031691017,0.045183025,-0.0029728299,-0.006453524,0.031676624,0.0055665984,-0.0030458507,0.04388993,-0.0030591036,-0.005297618,0.03014836,0.00092986855
2,-0.013450688,0.0733922,-0.010189699,0.0005251027,0.094071686,0.018854354,-0.0046338616,0.07521953,-0.0028479055,0.011310847,0.08819532,0.018954838,0.0017321988,0.075119056,0.002981832,0.016024826,0.081632346,0.016345782,0.007576795,0.07359144,0.0085110525,0.018565323,0.07251346,0.009658303,0.013119654,0.07141986,0.013976131,0.020673776,0.066931054,0.0017720874,0.018289972,0.070491016,0.01891561,0.02261258,0.06837652,-0.005971754
3,-0.009031847,0.09093374,-0.0023049582,0.00093444745,0.1437647,0.015498595,0.0034844263,0.102014884,0.0078403605,0.017798733,0.13403316,0.014281185,0.012365546,0.104436524,0.014086214,0.024320088,0.12268067,0.010629018,0.018341467,0.10011985,0.017667117,0.028874861,0.11019937,0.0029724769,0.021622855,0.09569621,0.02022616,0.03295015,0.10444685,-0.0055807987,0.023757232,0.09622095,0.022870637,0.036442358,0.10844626,-0.01020346
4,-0.009416026,0.10177398,-0.00055505196,0.0070269452,0.19190204,0.012159413,0.0051842267,0.12542453,0.011108581,0.020120109,0.18033849,0.00971893,0.015114638,0.13221003,0.0153455585,0.022836478,0.16599171,0.008200574,0.018392513,0.1260909,0.013744464,0.027612528,0.15140834,0.004433117,0.01623973,0.119811915,0.011056921,0.033216666,0.14580935,-0.0009505884,0.013447539,0.120875634,0.010290904,0.03776239,0.15112899,0.0012204706
5,-0.007977688,0.11645999,-0.00096260326,0.02998899,0.22833925,0.0061819963,0.006493724,0.14249253,0.010578182,0.034300137,0.21780053,0.004787242,0.016218133,0.14981374,0.013422684,0.028562095,0.20251136,0.007371134,0.017625146,0.14265485,0.0092910165,0.031577863,0.18680762,0.008030247,0.012972505,0.13580434,0.0054026563,0.037302647,0.18127096,0.0028056817,0.009479294,0.13762009,0.005370603,0.041528836,0.18566827,0.0045409873
6,-0.0021744268,0.13128236,0.00045429546,0.05677031,0.24010931,-0.0030619532,0.010592869,0.15213478,0.010227922,0.053154178,0.23195669,0.0026481922,0.018843843,0.15588944,0.011872557,0.03957709,0.21704756,0.010462695,0.018924184,0.14626108,0.007895326,0.041103043,0.19985855,0.012125893,0.014761248,0.1389557,0.0067794,0.046113193,0.19323531,-0.0010045088,0.01436711,0.14192352,0.011207506,0.049352147,0.19589506,-0.009020796
7,0.00025804865,0.14389814,-0.0021002651,0.08398764,0.2428855,-0.008697441,0.010660083,0.15769804,0.0057262634,0.071264386,0.238819,0.0045946892,0.017175747,0.15623666,0.006550472,0.049848665,0.22602461,0.01876999,0.016290752,0.14503503,0.0037552721,0.049665645,0.20795815,0.021179598,0.013723443,0.13887116,0.006326859,0.05331455,0.20017835,-0.00029552283,0.01726158,0.14317237,0.015440373,0.05538958,0.201179,-0.019357856
8,0.00024429723,0.15164609,-0.005472829,0.11095554,0.24546258,-0.01598106,0.0090993745,0.16238776,0.0015841764,0.08344066,0.24388106,0.0019765836,0.014408425,0.15745029,0.0019863062,0.05393907,0.23319416,0.02135808,0.012558442,0.14629932,-0.0010587071,0.051540703,0.21424323,0.026481742,0.009641273,0.1407469,0.0017079422,0.053959753,0.20418477,0.0031204717,0.013318768,0.14572771,0.011084674,0.05517285,0.20237406,-0.016363403
9,-0.0018727737,0.15501586,-0.009942123,0.13934517,0.24580544,-0.01673795,0.0065448573,0.16468883,-0.0024080204,0.09453772,0.2443453,0.00058701646,0.01170326,0.15710649,-0.0012467683,0.056526065,0.23498538,0.02007358,0.0098004285,0.1472663,-0.004481703,0.05135693,0.21489117,0.027293012,0.0060896734,0.14160167,-0.002492939,0.05291385,0.20254964,0.0041676024,0.008644834,0.14691831,0.0057362714,0.05330735,0.19903423,-0.013556052
10,-0.0013533825,0.1546295,-0.012233946,0.1634082,0.24169204,-0.019933308,0.0062666903,0.16481856,-0.0048794188,0.10381636,0.24031688,-0.00055139675,0.010680666,0.15354101,-0.0031677885,0.05891641,0.23255998,0.020271676,0.008615621,0.14448655,-0.0060851085,0.051497985,0.21176149,0.028509658,0.004575653,0.1397062,-0.0039366884,0.052424308,0.1978015,0.0035813935,0.0068352474,0.14560726,0.0039884932,0.05211547,0.19409026,-0.017305005
