Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.054031193,0.06422168,-0.05255332,0.061509363,-0.06467281,0.05743482,-0.05215949,0.06535598,-0.05226662,0.060999177,-0.071444154,0.05747876,-0.05141199,0.06512809,-0.051605746,0.06545769,-0.07341283,0.050992265,-0.050683554,0.06541674,-0.051386803,0.07162523,-0.072866626,0.048027776,-0.050966006,0.061896928,-0.051885314,0.07522694,-0.072562635,0.050590344,-0.052224535,0.059002057,-0.052216522,0.076767795,-0.072579585,0.051530894
2,-0.037030924,0.117853016,-0.028178735,0.08457967,-0.123077236,0.021668747,-0.027310256,0.11160733,-0.028310562,0.08515063,-0.120548755,0.03563172,-0.027179329,0.09704884,-0.031172197,0.09723996,-0.12205185,0.030681007,-0.029813342,0.07892196,-0.037054084,0.11574359,-0.12579383,0.041153323,-0.036681514,0.05647252,-0.03888706,0.12708488,-0.12995695,0.03702449,-0.04044587,0.06756289,-0.03605952,0.13493617,-0.12649742,0.02100778
3,-0.03731728,0.14111722,-0.023084855,0.11189844,-0.15462708,0.0006879065,-0.024168892,0.13071677,-0.026224291,0.11185446,-0.1282668,0.04625034,-0.028092163,0.10648671,-0.03226286,0.11934625,-0.123430036,0.053423487,-0.033494547,0.08848699,-0.040718734,0.13539428,-0.129999,0.06202869,-0.042254332,0.0646376,-0.044530846,0.14463452,-0.14303547,0.047750663,-0.046446886,0.07970571,-0.042019546,0.1566337,-0.14758371,0.025298415
4,-0.0494817,0.146158,-0.029985324,0.12815696,-0.18979539,-0.0017319275,-0.031069439,0.13118051,-0.029658226,0.1309395,-0.14845861,0.039360233,-0.032464784,0.10863737,-0.03454084,0.1442101,-0.13726974,0.04679505,-0.037645973,0.08905321,-0.043100413,0.15950668,-0.13686661,0.053685825,-0.047762007,0.07566849,-0.048353296,0.16099395,-0.14354476,0.03545095,-0.053184893,0.093186535,-0.051950913,0.17184438,-0.1627962,0.02349645
5,-0.06035534,0.147177,-0.037099697,0.13993438,-0.2198358,-0.0024330148,-0.03808804,0.13164884,-0.03529132,0.14304878,-0.16580303,0.035573885,-0.03837162,0.10921513,-0.04168235,0.16249125,-0.15329689,0.04683376,-0.045390937,0.08178886,-0.05035073,0.17957798,-0.14541957,0.0592035,-0.057347644,0.085376866,-0.054061327,0.17433731,-0.14110343,0.030571634,-0.062036272,0.10921872,-0.06358112,0.18203641,-0.17208415,0.03126865
6,-0.06560987,0.14120954,-0.040048175,0.14692785,-0.23686107,-0.0056225033,-0.04112887,0.12753628,-0.03814717,0.14883521,-0.17486528,0.03536594,-0.041294064,0.10577718,-0.04350077,0.1716679,-0.16274218,0.040896077,-0.047292233,0.079636686,-0.050858706,0.19076015,-0.14905292,0.054014083,-0.059428968,0.089998856,-0.054402716,0.18235914,-0.13981436,0.020626402,-0.064322904,0.11521461,-0.06804031,0.18788254,-0.17533544,0.032730497
7,-0.06682037,0.13708581,-0.039982602,0.15195353,-0.24799298,-0.008333853,-0.04132936,0.12606767,-0.039210573,0.15159906,-0.18110292,0.03621266,-0.04217486,0.10424001,-0.044299696,0.17621462,-0.16795678,0.039457098,-0.04802778,0.07714063,-0.05186233,0.19588275,-0.15023258,0.05948157,-0.06123083,0.090084516,-0.054311905,0.18701595,-0.14136161,0.017112024,-0.065045685,0.115280606,-0.06862185,0.19184417,-0.1783998,0.033609167
8,-0.066208646,0.13469176,-0.03851071,0.15424569,-0.25138894,-0.011932036,-0.040143535,0.12523475,-0.038971797,0.15141107,-0.1831598,0.036272984,-0.04160895,0.10412129,-0.04310489,0.17559184,-0.1679862,0.03806471,-0.04666378,0.07864462,-0.051231425,0.19355129,-0.1489682,0.06304213,-0.06029518,0.087297454,-0.05331043,0.18850945,-0.14896463,0.013344873,-0.0631968,0.10715578,-0.066358574,0.19521564,-0.18454216,0.03516357
9,-0.06584313,0.1320983,-0.03755061,0.15685056,-0.2533475,-0.012466633,-0.039755873,0.12483981,-0.03925122,0.15060702,-0.18434845,0.03792351,-0.04154617,0.10475957,-0.042476043,0.17407599,-0.16952327,0.036175575,-0.045405153,0.080322824,-0.050780937,0.1921029,-0.14962696,0.064554565,-0.0593443,0.08367793,-0.052390423,0.19146328,-0.15563804,0.011240731,-0.06200969,0.098695934,-0.064671025,0.19859418,-0.188537,0.038218766
10,-0.0656918,0.12922771,-0.036724355,0.15871961,-0.25408855,-0.011850106,-0.039413862,0.12497942,-0.039595816,0.14970252,-0.18397112,0.040372998,-0.041717414,0.1041383,-0.04216831,0.1723875,-0.17110054,0.03440044,-0.04442386,0.081646,-0.050219387,0.19109699,-0.15048096,0.064457454,-0.058348004,0.080284186,-0.05122866,0.19416,-0.16100587,0.0084839435,-0.06076342,0.091774166,-0.062922835,0.2013618,-0.19185188,0.039193936
