Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_kappa,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_kappa,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_kappa
1,-0.015099861,0.037628956,-0.0126089845,-0.029731322,0.023894921,0.013132075,-0.00786309,0.036050912,-0.006362348,-0.005003554,-0.007921398,0.007887149,-0.0037599863,0.031153183,-0.0024303228,0.0069544604,-0.014163914,0.0059221354,-0.00066945254,0.027966589,0.00083748193,0.014021441,-0.015905265,0.004736002,0.0024090412,0.027251763,0.004289038,0.019157752,-0.015385745,0.0037830446,0.0067509566,0.032038976,0.0090448875,0.023390252,-0.010769751,0.00264344
2,-0.041806377,0.063005514,-0.03230197,-0.07413307,0.056220867,0.018611692,-0.027899101,0.064706944,-0.022329165,-0.025741978,-0.015885418,0.00775509,-0.01885287,0.055388395,-0.015083491,-0.00012232456,-0.03999228,0.0019283777,-0.012059577,0.0481539,-0.008760419,0.01574421,-0.051133525,-0.0013784403,-0.00610044,0.04637186,-0.0025007515,0.027540015,-0.055457257,-0.0042998446,-0.00026534335,0.056352627,0.003824222,0.037577104,-0.050327186,-0.0075639794
3,-0.0686247,0.06493707,-0.05364462,-0.11022019,0.06544677,0.016944295,-0.051385745,0.07401416,-0.041466743,-0.043055862,-0.034166157,0.005483315,-0.038936526,0.06327263,-0.031687915,-0.006838717,-0.07068254,-0.0037296442,-0.029546972,0.053650234,-0.023135366,0.014981597,-0.088859126,-0.009313697,-0.022081956,0.05162958,-0.015295434,0.030806096,-0.09741914,-0.014160455,-0.016832877,0.066351235,-0.009549795,0.0442146,-0.09503515,-0.019770376
4,-0.07177967,0.07863922,-0.05482966,-0.11557931,0.06099513,0.010570156,-0.053897068,0.08153677,-0.040820025,-0.038846802,-0.04005753,0.0028098752,-0.039078422,0.07066857,-0.027777774,-0.00039531267,-0.07534258,-0.0076411082,-0.02674114,0.060118504,-0.015734265,0.021669505,-0.091657266,-0.014523771,-0.01626952,0.05669658,-0.0038070662,0.03730949,-0.09837316,-0.02001308,-0.008452997,0.07140413,0.005791273,0.050442528,-0.09601157,-0.025780754
5,-0.085185066,0.07544188,-0.06677024,-0.11477722,0.059324387,0.020788023,-0.066342875,0.089046165,-0.047949873,-0.033172034,-0.04039488,0.009856421,-0.046416882,0.0827544,-0.028929878,0.004853308,-0.07392514,-0.0062071895,-0.028067408,0.07047961,-0.010990518,0.025438659,-0.08880398,-0.017603531,-0.011112034,0.06355587,0.007711471,0.039573148,-0.09548529,-0.026162129,0.003102879,0.0772356,0.02355794,0.051266585,-0.09634819,-0.0327909
6,-0.088019595,0.07119283,-0.06957114,-0.11869736,0.047752704,0.019845366,-0.07201995,0.08218148,-0.049533512,-0.025727877,-0.049773388,0.009964446,-0.050161224,0.07951667,-0.026215537,0.011949378,-0.07957048,-0.009253802,-0.027798928,0.066721134,-0.0034616329,0.029686855,-0.09121733,-0.023753028,-0.0056044515,0.05686569,0.021081718,0.04113647,-0.09677654,-0.034076374,0.014210078,0.07033802,0.041739184,0.050549068,-0.09959004,-0.039822992
7,-0.09177158,0.076623395,-0.07287548,-0.12711436,0.04143765,0.020485012,-0.077104025,0.08214402,-0.052474596,-0.024322176,-0.056451026,0.011661264,-0.054316808,0.0780263,-0.027543014,0.012771729,-0.085334465,-0.007901627,-0.030394712,0.06357337,-0.0025723511,0.027395155,-0.09647789,-0.022828547,-0.0044125365,0.051592644,0.02647828,0.03607726,-0.10232159,-0.03305801,0.023434034,0.06541277,0.05529096,0.043400902,-0.10275454,-0.037211973
8,-0.089194566,0.0976252,-0.068799056,-0.12974963,0.03214933,0.017154142,-0.07426951,0.091891,-0.04762725,-0.01791539,-0.06438651,0.01018969,-0.05065222,0.08359804,-0.02227396,0.018027375,-0.09089809,-0.0075356993,-0.027182361,0.06696759,0.0029685316,0.028882427,-0.1003097,-0.020661434,-0.0005050907,0.051331967,0.033699647,0.034147236,-0.1069344,-0.028745305,0.031400636,0.06212012,0.06662576,0.03868993,-0.107649736,-0.02926274
9,-0.09396388,0.087345734,-0.0732949,-0.13719493,0.020100925,0.018154228,-0.08123866,0.08870242,-0.051260512,-0.013425193,-0.07702807,0.010165206,-0.056921605,0.08137446,-0.024984915,0.022623552,-0.10273969,-0.0074534034,-0.033745382,0.063909404,-5.185022e-06,0.030318951,-0.11103733,-0.019338148,-0.0069461926,0.045830816,0.030471364,0.032527294,-0.118049435,-0.024790192,0.02855129,0.054852087,0.06649671,0.03474248,-0.11767244,-0.020599581
10,-0.09618266,0.081167564,-0.074644186,-0.13869381,0.009027984,0.021125453,-0.08353852,0.092747234,-0.049568616,-0.0073884483,-0.08631194,0.010405714,-0.05623737,0.086567186,-0.020913936,0.027435305,-0.110923745,-0.008344511,-0.031332776,0.06722993,0.005513316,0.03176827,-0.11909244,-0.019958962,-0.002514725,0.045602493,0.03766605,0.030812018,-0.12897688,-0.023546997,0.036064994,0.05224549,0.076361634,0.030401878,-0.12997137,-0.015986016
