Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.07647173,0.07966649,0.076174095,0.07464636,-0.067574754,-0.07220374,0.07489134,0.08016266,0.0745297,0.07529424,-0.06767849,-0.071345836,0.073762916,0.07998988,0.07334984,0.07568237,-0.06775336,-0.069888644,0.07257153,0.07993585,0.072313175,0.07588943,-0.06780586,-0.06806388,0.071971595,0.08002487,0.071972944,0.07594549,-0.067837134,-0.06572772,0.071599014,0.07994182,0.07160029,0.075957276,0.0007908538,0.0007908538
2,0.08976356,0.15456998,0.08551332,0.08251574,-0.03418981,-0.057575956,0.07679884,0.12482724,0.07132071,0.075308815,-0.03458983,-0.054999463,0.06495516,0.102960385,0.061222956,0.07003784,-0.034856003,-0.050771635,0.05928947,0.10411191,0.058172923,0.06625265,-0.034998946,-0.045478776,0.05774415,0.12421636,0.05709861,0.06349411,-0.035111003,-0.02970871,0.056493904,0.15103604,0.056420986,0.061934166,0.0007908538,0.0007908538
3,0.10924662,0.2076698,0.09609373,0.0783733,-0.0066680713,-0.053638022,0.082200915,0.16118461,0.07077424,0.067073524,-0.0071623335,-0.03922665,0.06126193,0.122859694,0.055211317,0.05873344,-0.00754538,-0.027729342,0.053094976,0.12429709,0.052460816,0.052815113,-0.0077767875,-0.019479683,0.05189906,0.15842727,0.053495362,0.048748363,-0.0079803085,0.0029759123,0.05251027,0.20090574,0.058409534,0.046692066,0.0007908538,0.0007908538
4,0.13807884,0.23865315,0.116310164,0.078889444,8.694397e-05,-0.06697757,0.09958807,0.19185084,0.08368103,0.06790129,-0.00014873687,-0.041610226,0.072632276,0.14611202,0.06566539,0.05916325,-0.00053374516,-0.022023201,0.06358526,0.14687902,0.064600155,0.052896228,-0.0008650918,-0.0096331965,0.06412498,0.18575504,0.06978249,0.04896243,-0.0011877301,0.017233225,0.06861857,0.22983935,0.079776384,0.0478151,0.0007908538,0.0007908538
5,0.13638261,0.2560427,0.11400646,0.07744229,0.015923532,-0.047819585,0.0970603,0.19731458,0.07981534,0.063090414,0.015216029,-0.025431948,0.06907559,0.1469732,0.060680762,0.05259125,0.01495506,-0.006946325,0.059346884,0.14876428,0.05892481,0.045060012,0.015111842,0.0049805823,0.058839694,0.19328398,0.06237235,0.039820876,0.015431034,0.034134917,0.061293937,0.24591137,0.068077154,0.037088983,0.0007908538,0.0007908538
6,0.14474538,0.26286083,0.11969376,0.079401836,0.012570205,-0.060848936,0.10174227,0.20512179,0.083285436,0.06592794,0.01235904,-0.031681255,0.07184284,0.1529256,0.06318663,0.055731434,0.0121442,-0.010295039,0.061734278,0.15423119,0.06167072,0.04850099,0.012171528,0.0034317686,0.061580867,0.1994618,0.06610181,0.04391036,0.012390159,0.034003902,0.064753346,0.25213784,0.073068045,0.042420972,0.0007908538,0.0007908538
7,0.1393173,0.26401368,0.11633859,0.081898056,0.010295297,-0.06785828,0.098131135,0.20323513,0.080329254,0.0679978,0.010423454,-0.036317073,0.068628944,0.15036191,0.05981011,0.05775661,0.0102439355,-0.013786161,0.058365557,0.15185626,0.057736393,0.05067353,0.010199915,0.0010386747,0.057670712,0.19831613,0.060979087,0.046466663,0.010361435,0.03259599,0.059439994,0.25401482,0.065128855,0.04569587,0.0007908538,0.0007908538
8,0.13889888,0.2657638,0.1158743,0.082497396,0.010839321,-0.068103045,0.09765205,0.203353,0.07969264,0.06831288,0.011019531,-0.036188405,0.068021074,0.15002277,0.058937825,0.057956614,0.010869826,-0.013363009,0.057577934,0.15169011,0.056598116,0.050823204,0.010865827,0.0017882229,0.05656195,0.19897528,0.05931862,0.046618324,0.01109286,0.033854008,0.057714805,0.25616997,0.062463675,0.045915198,0.0007908538,0.0007908538
9,0.144425,0.26738435,0.11953997,0.08265052,0.009585015,-0.071158394,0.101068676,0.20672135,0.08239049,0.06915242,0.009877469,-0.037606623,0.07057682,0.15311947,0.06142068,0.05902151,0.00974809,-0.013981058,0.060006723,0.15455836,0.059298918,0.052014366,0.009728582,0.0016035507,0.05923327,0.20162599,0.06270089,0.0479969,0.009958778,0.03392937,0.061027877,0.25774667,0.06722648,0.047623284,0.0007908538,0.0007908538
10,0.13665313,0.2674993,0.11406825,0.08324672,0.012792602,-0.06483986,0.09587414,0.20169118,0.077860355,0.06828573,0.012955379,-0.034151677,0.06633192,0.14799115,0.056799427,0.057624206,0.0128596425,-0.011700646,0.055603746,0.15010558,0.05389286,0.050311513,0.012975799,0.0035160235,0.053908095,0.19870053,0.05546326,0.045946654,0.013369876,0.036150925,0.0537858,0.25853428,0.05666189,0.045075398,0.0007908538,0.0007908538
