Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_gamma,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_gamma,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_gamma,Layer3_theta_1,Layer3_r,Layer3_theta_2,Layer3_bx,Layer3_bp,Layer3_gamma,Layer4_theta_1,Layer4_r,Layer4_theta_2,Layer4_bx,Layer4_bp,Layer4_gamma,Layer5_theta_1,Layer5_r,Layer5_theta_2,Layer5_bx,Layer5_bp,Layer5_gamma
1,0.045563538,0.073487274,0.046130784,0.06892124,-0.037651986,0.045329735,0.046368204,0.062149107,0.04687604,0.06522047,-0.03541917,0.04530275,0.047057956,0.052176345,0.047344487,0.059809465,-0.033514414,0.045573935,0.047451306,0.051531333,0.04746244,0.054651633,-0.032067154,0.045554157,0.047510173,0.052583255,0.047246333,0.050967224,-0.031364955,0.045224495,0.047180183,0.063097484,0.046791952,0.049184065,-0.031027768,0.045199577
2,0.031862758,0.12932523,0.031313214,0.11487148,-0.009117464,0.032193206,0.032353494,0.07845806,0.033561528,0.09569535,-0.0031368232,0.033200502,0.03445126,0.04336958,0.035969317,0.070867985,0.0015846279,0.034967493,0.03697066,0.041633148,0.03694575,0.04996266,0.004876242,0.03502091,0.03745467,0.045892373,0.035857234,0.036708668,0.0065304413,0.03337671,0.035761613,0.08485259,0.034384705,0.030449085,0.0071830004,0.03269768
3,0.037140194,0.16221869,0.03420462,0.13889904,0.004583903,0.039134547,0.035864502,0.09657556,0.036722872,0.11198635,0.012618179,0.041662283,0.03816104,0.04903934,0.040087264,0.07723306,0.018947385,0.046072796,0.041707244,0.047154196,0.041611895,0.048252184,0.023317702,0.04659438,0.042471234,0.05280553,0.04034203,0.030087287,0.025609134,0.043593004,0.040310904,0.10554617,0.03916028,0.021473458,0.026585838,0.041759476
4,0.03753568,0.18103628,0.03386115,0.15088893,0.007252919,0.040254742,0.0353101,0.10494951,0.036496013,0.12138211,0.016598482,0.03992655,0.0378034,0.04947532,0.040130686,0.0827098,0.02380917,0.04542875,0.04175988,0.046670396,0.04163611,0.050438263,0.028878411,0.045556426,0.042465486,0.053564854,0.039874762,0.03018385,0.031672996,0.040692728,0.039721496,0.11470565,0.038088895,0.020761063,0.03315183,0.037376236
5,0.03791429,0.19055623,0.034088593,0.15579472,0.0028677317,0.03964562,0.034781206,0.10835765,0.03632664,0.1269607,0.013062583,0.036949035,0.037037548,0.048531886,0.039606374,0.088125974,0.020715958,0.041948903,0.04085548,0.044954382,0.04067548,0.055497024,0.02624451,0.040964495,0.04122949,0.05278139,0.03827048,0.03486637,0.02937616,0.03416415,0.037865076,0.11882133,0.035529267,0.025616748,0.031326156,0.02812189
6,0.042175204,0.19573814,0.037179828,0.15833654,-0.0007292176,0.045413204,0.037393507,0.11248173,0.03868634,0.13041334,0.010036733,0.04034392,0.039006874,0.050449546,0.04162599,0.09183883,0.01800504,0.04486,0.04262804,0.046511177,0.042426255,0.059195686,0.0238835,0.043304715,0.042802133,0.05451018,0.039743494,0.03841912,0.027303496,0.035739686,0.03917536,0.12275763,0.03690955,0.029341035,0.029669045,0.029557897
7,0.037684586,0.19805323,0.034033813,0.16069621,0.0040849317,0.040487796,0.034745168,0.110550016,0.03660442,0.13040708,0.014759038,0.037726913,0.037359644,0.04791253,0.04005668,0.0899146,0.022705102,0.043246634,0.04137438,0.04454374,0.041050173,0.055971283,0.028394828,0.041766826,0.041630376,0.053935,0.038306806,0.034574497,0.031546474,0.03368598,0.03787435,0.12468656,0.03509218,0.024998132,0.033423554,0.026354574
8,0.03972872,0.19944558,0.03557958,0.1617834,0.0046032104,0.044073246,0.036370035,0.11190278,0.038046427,0.13108498,0.01538888,0.04101721,0.038868375,0.048989676,0.04152491,0.09015071,0.02341164,0.046663754,0.042901788,0.045943867,0.042518854,0.055855464,0.029141752,0.045106083,0.04313201,0.055706527,0.03976295,0.03425921,0.03230178,0.03689185,0.039339,0.12742719,0.036723558,0.024584448,0.03415844,0.030048896
9,0.038985364,0.20014301,0.035202257,0.1619858,0.0031076474,0.042460885,0.035778854,0.11108965,0.037681017,0.1317942,0.014035968,0.039528474,0.03833651,0.047755547,0.0410291,0.091199555,0.02212703,0.044902988,0.042288806,0.044786476,0.041835323,0.057106443,0.027964218,0.04282713,0.042368133,0.055244416,0.038835734,0.03558245,0.031239094,0.033865467,0.038349997,0.1282655,0.03535299,0.026031474,0.033272345,0.025632488
10,0.039447784,0.20027131,0.03568713,0.16221501,0.0024966467,0.043017805,0.036191024,0.11075033,0.038109906,0.132213,0.01352372,0.040063176,0.038710088,0.047422938,0.041380983,0.09169848,0.021672463,0.045279574,0.042605124,0.04476261,0.042078726,0.05762729,0.027569694,0.042858094,0.04258577,0.055792127,0.038952205,0.03609813,0.030890092,0.033448275,0.038443472,0.12974484,0.035325665,0.02658437,0.032979198,0.024642447
11,0.040467177,0.20011513,0.036576707,0.16248041,0.0021533908,0.044540405,0.037054848,0.110592514,0.03890082,0.13258529,0.013269733,0.04147013,0.03948193,0.047466412,0.04210651,0.092072025,0.021480514,0.04655213,0.043321952,0.045217343,0.042719513,0.057959616,0.027434194,0.043837734,0.043218825,0.056775864,0.03950829,0.03639312,0.030793784,0.0340924,0.038989402,0.13153286,0.03586061,0.026887478,0.032926686,0.025054703
12,0.037964813,0.1996267,0.034937717,0.16301367,0.004480143,0.041706827,0.03567857,0.10831923,0.03779848,0.1321003,0.015501082,0.0399751,0.03860797,0.04561145,0.041215464,0.090788215,0.023668637,0.04539227,0.04259166,0.044043884,0.04187242,0.0561543,0.02947927,0.042529773,0.04247868,0.056657344,0.03858844,0.034368847,0.032636806,0.032371253,0.038148947,0.13269171,0.034668867,0.02464339,0.0344214,0.02240801
13,0.03931538,0.199359,0.03608047,0.16328683,0.003765805,0.043653283,0.036754277,0.108195566,0.038766738,0.13263397,0.014902825,0.041634295,0.03952241,0.045751013,0.042072475,0.0914314,0.023153402,0.04681672,0.043415442,0.044637512,0.042612378,0.05681538,0.029060403,0.043594737,0.04319416,0.057791054,0.039224606,0.035009507,0.032309774,0.033063978,0.038762074,0.13461366,0.03528303,0.025320416,0.0342227,0.022879807
14,0.039795145,0.19894987,0.036603432,0.1634426,0.0030613244,0.044212993,0.037197027,0.10746894,0.039204277,0.13306123,0.01429297,0.04211145,0.03989704,0.04528035,0.042403966,0.09200014,0.022610044,0.047044102,0.04370485,0.044621617,0.042809173,0.057436354,0.028600214,0.04340454,0.04336148,0.058441162,0.039276667,0.035632912,0.031932414,0.032384135,0.03879007,0.13619058,0.035173055,0.025989555,0.033965327,0.021582924
15,0.03912718,0.19828002,0.03629288,0.16370972,0.0040660365,0.04368754,0.037010197,0.10603776,0.03909003,0.13288632,0.015282427,0.042130288,0.039890733,0.04433215,0.042350013,0.09144539,0.02359746,0.047116503,0.043728884,0.044339776,0.04272386,0.05662322,0.029525688,0.043217048,0.0433275,0.059016176,0.03910571,0.034711562,0.032750953,0.031797193,0.038656175,0.13781337,0.034858953,0.024967048,0.034593027,0.02041335
16,0.04044189,0.1976863,0.037418287,0.1638488,0.004092537,0.04580739,0.03816626,0.1057949,0.04011427,0.13301818,0.015363018,0.044129346,0.04093977,0.044566914,0.043330416,0.091501676,0.023723697,0.049008604,0.04473231,0.0451665,0.04364056,0.056596227,0.029676007,0.044839162,0.044257976,0.060407594,0.039972037,0.034639917,0.032896932,0.03314817,0.039528396,0.13995339,0.035811048,0.024880242,0.03471412,0.021768948
17,0.03952964,0.19702725,0.03695519,0.16404729,0.004607824,0.04468912,0.03775898,0.10409685,0.039827853,0.13298401,0.015897023,0.04353595,0.040707335,0.04329181,0.04305633,0.09123764,0.024277499,0.04836639,0.044497527,0.044571728,0.043283388,0.056163426,0.03020715,0.043815445,0.043926846,0.060794394,0.039468244,0.03413358,0.03336749,0.031556845,0.03904425,0.14155427,0.03504298,0.024315774,0.035068095,0.019216279
18,0.03943662,0.19626786,0.037092045,0.1641899,0.004728572,0.04466441,0.03791467,0.10278432,0.040012285,0.13307059,0.016057907,0.04373583,0.04091172,0.042466365,0.04320475,0.09122412,0.024472032,0.048432026,0.044662233,0.044441022,0.04332907,0.056059558,0.030410044,0.04347569,0.043982573,0.061554838,0.03937555,0.03398683,0.033550154,0.030684115,0.03895786,0.14342685,0.034773123,0.024149135,0.03520433,0.017604662
19,0.04124837,0.19571832,0.038609117,0.16423269,0.0033878603,0.047057785,0.03929274,0.102734655,0.041249506,0.13369462,0.014857712,0.045598846,0.042032827,0.04277382,0.04426611,0.09220321,0.02338228,0.04992561,0.045647085,0.045234606,0.04423146,0.057205796,0.029480852,0.04452191,0.04483219,0.062857926,0.04015856,0.035173874,0.03279853,0.031305954,0.039697085,0.14547053,0.035570238,0.025442688,0.03472696,0.017997356
